Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2015,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,AUG FY2015,91,8,2015,1,2015-08-01
01-10-2015,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,OCT FY2015,159,10,2015,1,2015-10-01
01-09-2015,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2015,SEP FY2015,118,9,2015,1,2015-09-01
01-08-2016,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,AUG FY2022,151,8,2022,1,2022-08-01
01-10-2016,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,OCT FY2022,587,10,2022,1,2022-10-01
01-09-2016,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,SEP FY2022,130,9,2022,1,2022-09-01
01-08-2017,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,AUG FY2002,230,8,2002,1,2002-08-01
01-10-2017,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,OCT FY2002,968,10,2002,1,2002-10-01
01-09-2017,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2002,SEP FY2002,324,9,2002,1,2002-09-01
01-08-2018,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,AUG FY2008,251,8,2008,1,2008-08-01
01-10-2018,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,OCT FY2008,964,10,2008,1,2008-10-01
01-09-2018,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2008,SEP FY2008,991,9,2008,1,2008-09-01
01-08-2019,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2007,AUG FY2007,302,8,2007,1,2007-08-01
01-10-2019,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2007,OCT FY2007,1172,10,2007,1,2007-10-01
01-09-2019,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2007,SEP FY2007,779,9,2007,1,2007-09-01
01-08-2020,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2011,AUG FY2011,163,8,2011,1,2011-08-01
01-10-2020,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2011,OCT FY2011,7678,10,2011,1,2011-10-01
01-09-2020,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2011,SEP FY2011,1368,9,2011,1,2011-09-01
01-08-2021,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2012,AUG FY2012,769,8,2012,1,2012-08-01
01-10-2021,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2012,OCT FY2012,1780,10,2012,1,2012-10-01
01-09-2021,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2012,SEP FY2012,435,9,2012,1,2012-09-01
01-08-2022,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,AUG FY2022,1156,8,2022,1,2022-08-01
01-10-2022,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,OCT FY2022,1822,10,2022,1,2022-10-01
01-09-2022,BATBU,A9K920,A9K-920-12CZ-A,Q1 FY2022,SEP FY2022,2373,9,2022,1,2022-09-01
01-12-2015,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,DEC FY2015,63,12,2015,2,2015-12-01
01-01-2015,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,JAN FY2015,79,1,2015,2,2015-01-01
01-11-2015,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2015,NOV FY2015,121,11,2015,2,2015-11-01
01-12-2016,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,DEC FY2022,708,12,2022,2,2022-12-01
01-01-2016,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,JAN FY2022,368,1,2022,2,2022-01-01
01-11-2016,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2022,NOV FY2022,338,11,2022,2,2022-11-01
01-12-2017,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,DEC FY2002,560,12,2002,2,2002-12-01
01-01-2017,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,JAN FY2002,868,1,2002,2,2002-01-01
01-11-2017,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2002,NOV FY2002,353,11,2002,2,2002-11-01
01-12-2018,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2008,DEC FY2008,944,12,2008,2,2008-12-01
01-01-2018,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2008,JAN FY2008,1044,1,2008,2,2008-01-01
01-11-2018,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2008,NOV FY2008,1201,11,2008,2,2008-11-01
01-12-2019,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2007,DEC FY2007,4418,12,2007,2,2007-12-01
01-01-2019,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2007,JAN FY2007,810,1,2007,2,2007-01-01
01-11-2019,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2007,NOV FY2007,788,11,2007,2,2007-11-01
01-12-2020,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2011,DEC FY2011,1694,12,2011,2,2011-12-01
01-01-2020,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2011,JAN FY2011,2077,1,2011,2,2011-01-01
01-11-2020,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2011,NOV FY2011,1168,11,2011,2,2011-11-01
01-12-2021,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2012,DEC FY2012,1501,12,2012,2,2012-12-01
01-01-2021,BATBU,A9K920,A9K-920-12CZ-A,Q2 FY2012,JAN FY2012,1905,1,2012,2,2012-01-01
