Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2015,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,AUG FY2015,0,8,2015,1,2015-08-01
01-10-2015,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,OCT FY2015,4,10,2015,1,2015-10-01
01-09-2015,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2015,SEP FY2015,0,9,2015,1,2015-09-01
01-08-2016,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,AUG FY2022,2,8,2022,1,2022-08-01
01-10-2016,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,OCT FY2022,206,10,2022,1,2022-10-01
01-09-2016,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2022,SEP FY2022,34,9,2022,1,2022-09-01
01-08-2017,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,AUG FY2002,15,8,2002,1,2002-08-01
01-10-2017,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,OCT FY2002,19,10,2002,1,2002-10-01
01-09-2017,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2002,SEP FY2002,11,9,2002,1,2002-09-01
01-08-2018,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,AUG FY2008,14,8,2008,1,2008-08-01
01-10-2018,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,OCT FY2008,152,10,2008,1,2008-10-01
01-09-2018,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2008,SEP FY2008,7,9,2008,1,2008-09-01
01-08-2019,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,AUG FY2007,5,8,2007,1,2007-08-01
01-10-2019,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,OCT FY2007,61,10,2007,1,2007-10-01
01-09-2019,BATBU,A9K920,A9K-920-4SZ-D,Q1 FY2007,SEP FY2007,128,9,2007,1,2007-09-01
