Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,ERBU,A9K9000,A9K-9901,Q1 FY2007,AUG FY2007,43,8,2007,1,2007-08-01
01-10-2019,ERBU,A9K9000,A9K-9901,Q1 FY2007,OCT FY2007,160,10,2007,1,2007-10-01
01-09-2019,ERBU,A9K9000,A9K-9901,Q1 FY2007,SEP FY2007,51,9,2007,1,2007-09-01
01-08-2020,ERBU,A9K9000,A9K-9901,Q1 FY2011,AUG FY2011,30,8,2011,1,2011-08-01
01-10-2020,ERBU,A9K9000,A9K-9901,Q1 FY2011,OCT FY2011,207,10,2011,1,2011-10-01
01-09-2020,ERBU,A9K9000,A9K-9901,Q1 FY2011,SEP FY2011,67,9,2011,1,2011-09-01
01-08-2021,ERBU,A9K9000,A9K-9901,Q1 FY2012,AUG FY2012,99,8,2012,1,2012-08-01
01-10-2021,ERBU,A9K9000,A9K-9901,Q1 FY2012,OCT FY2012,224,10,2012,1,2012-10-01
01-09-2021,ERBU,A9K9000,A9K-9901,Q1 FY2012,SEP FY2012,148,9,2012,1,2012-09-01
01-08-2022,ERBU,A9K9000,A9K-9901,Q1 FY2022,AUG FY2022,54,8,2022,1,2022-08-01
01-10-2022,ERBU,A9K9000,A9K-9901,Q1 FY2022,OCT FY2022,308,10,2022,1,2022-10-01
01-09-2022,ERBU,A9K9000,A9K-9901,Q1 FY2022,SEP FY2022,137,9,2022,1,2022-09-01
01-01-2018,ERBU,A9K9000,A9K-9901,Q2 FY2008,JAN FY2008,1,1,2008,2,2008-01-01
01-12-2019,ERBU,A9K9000,A9K-9901,Q2 FY2007,DEC FY2007,118,12,2007,2,2007-12-01
01-01-2019,ERBU,A9K9000,A9K-9901,Q2 FY2007,JAN FY2007,139,1,2007,2,2007-01-01
01-11-2019,ERBU,A9K9000,A9K-9901,Q2 FY2007,NOV FY2007,196,11,2007,2,2007-11-01
01-12-2020,ERBU,A9K9000,A9K-9901,Q2 FY2011,DEC FY2011,155,12,2011,2,2011-12-01
01-01-2020,ERBU,A9K9000,A9K-9901,Q2 FY2011,JAN FY2011,114,1,2011,2,2011-01-01
01-11-2020,ERBU,A9K9000,A9K-9901,Q2 FY2011,NOV FY2011,159,11,2011,2,2011-11-01
01-12-2021,ERBU,A9K9000,A9K-9901,Q2 FY2012,DEC FY2012,129,12,2012,2,2012-12-01
01-01-2021,ERBU,A9K9000,A9K-9901,Q2 FY2012,JAN FY2012,289,1,2012,2,2012-01-01
01-11-2021,ERBU,A9K9000,A9K-9901,Q2 FY2012,NOV FY2012,123,11,2012,2,2012-11-01
01-12-2022,ERBU,A9K9000,A9K-9901,Q2 FY2022,DEC FY2022,317,12,2022,2,2022-12-01
01-01-2022,ERBU,A9K9000,A9K-9901,Q2 FY2022,JAN FY2022,321,1,2022,2,2022-01-01
01-11-2022,ERBU,A9K9000,A9K-9901,Q2 FY2022,NOV FY2022,145,11,2022,2,2022-11-01
01-04-2018,ERBU,A9K9000,A9K-9901,Q3 FY2008,APR FY2008,44,4,2008,3,2008-04-01
01-02-2018,ERBU,A9K9000,A9K-9901,Q3 FY2008,FEB FY2008,1,2,2008,3,2008-02-01
01-03-2018,ERBU,A9K9000,A9K-9901,Q3 FY2008,MAR FY2008,78,3,2008,3,2008-03-01
01-04-2019,ERBU,A9K9000,A9K-9901,Q3 FY2007,APR FY2007,205,4,2007,3,2007-04-01
01-02-2019,ERBU,A9K9000,A9K-9901,Q3 FY2007,FEB FY2007,92,2,2007,3,2007-02-01
01-03-2019,ERBU,A9K9000,A9K-9901,Q3 FY2007,MAR FY2007,133,3,2007,3,2007-03-01
01-04-2020,ERBU,A9K9000,A9K-9901,Q3 FY2011,APR FY2011,312,4,2011,3,2011-04-01
01-02-2020,ERBU,A9K9000,A9K-9901,Q3 FY2011,FEB FY2011,152,2,2011,3,2011-02-01
01-03-2020,ERBU,A9K9000,A9K-9901,Q3 FY2011,MAR FY2011,114,3,2011,3,2011-03-01
01-04-2021,ERBU,A9K9000,A9K-9901,Q3 FY2012,APR FY2012,279,4,2012,3,2012-04-01
