Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,AUG FY2022,94,8,2022,1,2022-08-01
01-10-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,OCT FY2022,110,10,2022,1,2022-10-01
01-09-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,SEP FY2022,84,9,2022,1,2022-09-01
01-08-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2002,AUG FY2002,57,8,2002,1,2002-08-01
01-10-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2002,OCT FY2002,494,10,2002,1,2002-10-01
01-09-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2002,SEP FY2002,77,9,2002,1,2002-09-01
01-08-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2008,AUG FY2008,55,8,2008,1,2008-08-01
01-10-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2008,OCT FY2008,491,10,2008,1,2008-10-01
01-09-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2008,SEP FY2008,108,9,2008,1,2008-09-01
01-08-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2007,AUG FY2007,517,8,2007,1,2007-08-01
01-10-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2007,OCT FY2007,435,10,2007,1,2007-10-01
01-09-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2007,SEP FY2007,506,9,2007,1,2007-09-01
01-08-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2011,AUG FY2011,262,8,2011,1,2011-08-01
01-10-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2011,OCT FY2011,169,10,2011,1,2011-10-01
01-09-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2011,SEP FY2011,119,9,2011,1,2011-09-01
01-08-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2012,AUG FY2012,44,8,2012,1,2012-08-01
01-10-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2012,OCT FY2012,141,10,2012,1,2012-10-01
01-09-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2012,SEP FY2012,89,9,2012,1,2012-09-01
01-08-2022,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,AUG FY2022,0,8,2022,1,2022-08-01
01-10-2022,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,OCT FY2022,23,10,2022,1,2022-10-01
01-09-2022,ERBU,A9K9KFM,A9K-RSP880-SE,Q1 FY2022,SEP FY2022,110,9,2022,1,2022-09-01
01-01-2015,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2015,JAN FY2015,41,1,2015,2,2015-01-01
01-12-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,DEC FY2022,120,12,2022,2,2022-12-01
01-01-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,JAN FY2022,156,1,2022,2,2022-01-01
01-11-2016,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2022,NOV FY2022,135,11,2022,2,2022-11-01
01-12-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2002,DEC FY2002,202,12,2002,2,2002-12-01
01-01-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2002,JAN FY2002,320,1,2002,2,2002-01-01
01-11-2017,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2002,NOV FY2002,108,11,2002,2,2002-11-01
01-12-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2008,DEC FY2008,291,12,2008,2,2008-12-01
01-01-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2008,JAN FY2008,546,1,2008,2,2008-01-01
01-11-2018,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2008,NOV FY2008,115,11,2008,2,2008-11-01
01-12-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2007,DEC FY2007,204,12,2007,2,2007-12-01
01-01-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2007,JAN FY2007,114,1,2007,2,2007-01-01
01-11-2019,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2007,NOV FY2007,194,11,2007,2,2007-11-01
01-12-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2011,DEC FY2011,105,12,2011,2,2011-12-01
01-01-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2011,JAN FY2011,263,1,2011,2,2011-01-01
01-11-2020,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2011,NOV FY2011,133,11,2011,2,2011-11-01
01-12-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2012,DEC FY2012,321,12,2012,2,2012-12-01
01-01-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2012,JAN FY2012,67,1,2012,2,2012-01-01
01-11-2021,ERBU,A9K9KFM,A9K-RSP880-SE,Q2 FY2012,NOV FY2012,37,11,2012,2,2012-11-01
