Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,AUG FY2022,43,8,2022,1,2022-08-01
01-10-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,OCT FY2022,145,10,2022,1,2022-10-01
01-09-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,SEP FY2022,106,9,2022,1,2022-09-01
01-08-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,AUG FY2002,84,8,2002,1,2002-08-01
01-10-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,OCT FY2002,616,10,2002,1,2002-10-01
01-09-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2002,SEP FY2002,72,9,2002,1,2002-09-01
01-08-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,AUG FY2008,61,8,2008,1,2008-08-01
01-10-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,OCT FY2008,295,10,2008,1,2008-10-01
01-09-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2008,SEP FY2008,253,9,2008,1,2008-09-01
01-08-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,AUG FY2007,205,8,2007,1,2007-08-01
01-10-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,OCT FY2007,296,10,2007,1,2007-10-01
01-09-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2007,SEP FY2007,135,9,2007,1,2007-09-01
01-08-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,AUG FY2011,64,8,2011,1,2011-08-01
01-10-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,OCT FY2011,163,10,2011,1,2011-10-01
01-09-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2011,SEP FY2011,140,9,2011,1,2011-09-01
01-08-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,AUG FY2012,16,8,2012,1,2012-08-01
01-10-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,OCT FY2012,49,10,2012,1,2012-10-01
01-09-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2012,SEP FY2012,13,9,2012,1,2012-09-01
01-08-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,AUG FY2022,30,8,2022,1,2022-08-01
01-10-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,OCT FY2022,139,10,2022,1,2022-10-01
01-09-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q1 FY2022,SEP FY2022,97,9,2022,1,2022-09-01
01-01-2015,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2015,JAN FY2015,11,1,2015,2,2015-01-01
01-12-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,DEC FY2022,92,12,2022,2,2022-12-01
01-01-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,JAN FY2022,92,1,2022,2,2022-01-01
01-11-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,NOV FY2022,24,11,2022,2,2022-11-01
01-12-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,DEC FY2002,93,12,2002,2,2002-12-01
01-01-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,JAN FY2002,248,1,2002,2,2002-01-01
01-11-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2002,NOV FY2002,41,11,2002,2,2002-11-01
01-12-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,DEC FY2008,210,12,2008,2,2008-12-01
01-01-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,JAN FY2008,794,1,2008,2,2008-01-01
01-11-2018,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2008,NOV FY2008,132,11,2008,2,2008-11-01
01-12-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,DEC FY2007,133,12,2007,2,2007-12-01
01-01-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,JAN FY2007,239,1,2007,2,2007-01-01
01-11-2019,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2007,NOV FY2007,259,11,2007,2,2007-11-01
01-12-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,DEC FY2011,80,12,2011,2,2011-12-01
01-01-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,JAN FY2011,236,1,2011,2,2011-01-01
01-11-2020,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2011,NOV FY2011,83,11,2011,2,2011-11-01
01-12-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,DEC FY2012,95,12,2012,2,2012-12-01
01-01-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,JAN FY2012,136,1,2012,2,2012-01-01
01-11-2021,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2012,NOV FY2012,45,11,2012,2,2012-11-01
01-12-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,DEC FY2022,41,12,2022,2,2022-12-01
01-01-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,JAN FY2022,50,1,2022,2,2022-01-01
01-11-2022,ERBU,A9K9KFM,A9K-RSP880-TR,Q2 FY2022,NOV FY2022,77,11,2022,2,2022-11-01
01-04-2015,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,APR FY2015,77,4,2015,3,2015-04-01
01-02-2015,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,FEB FY2015,49,2,2015,3,2015-02-01
01-03-2015,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2015,MAR FY2015,78,3,2015,3,2015-03-01
01-04-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,APR FY2022,142,4,2022,3,2022-04-01
01-02-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,FEB FY2022,69,2,2022,3,2022-02-01
01-03-2016,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2022,MAR FY2022,104,3,2022,3,2022-03-01
01-04-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2002,APR FY2002,497,4,2002,3,2002-04-01
01-02-2017,ERBU,A9K9KFM,A9K-RSP880-TR,Q3 FY2002,FEB FY2002,122,2,2002,3,2002-02-01
