Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2013,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,AUG FY2013,10,8,2013,1,2013-08-01
01-10-2013,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,OCT FY2013,123,10,2013,1,2013-10-01
01-09-2013,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,SEP FY2013,16,9,2013,1,2013-09-01
01-08-2014,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,AUG FY2014,68,8,2014,1,2014-08-01
01-10-2014,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,OCT FY2014,74,10,2014,1,2014-10-01
01-09-2014,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2014,SEP FY2014,37,9,2014,1,2014-09-01
01-08-2015,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2015,AUG FY2015,38,8,2015,1,2015-08-01
01-10-2015,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2015,OCT FY2015,231,10,2015,1,2015-10-01
01-09-2015,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2015,SEP FY2015,69,9,2015,1,2015-09-01
01-08-2016,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,AUG FY2022,148,8,2022,1,2022-08-01
01-10-2016,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,OCT FY2022,155,10,2022,1,2022-10-01
01-09-2016,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,SEP FY2022,153,9,2022,1,2022-09-01
01-08-2017,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2002,AUG FY2002,112,8,2002,1,2002-08-01
01-10-2017,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2002,OCT FY2002,223,10,2002,1,2002-10-01
01-09-2017,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2002,SEP FY2002,61,9,2002,1,2002-09-01
01-08-2018,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2008,AUG FY2008,66,8,2008,1,2008-08-01
01-10-2018,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2008,OCT FY2008,244,10,2008,1,2008-10-01
01-09-2018,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2008,SEP FY2008,147,9,2008,1,2008-09-01
01-08-2019,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2007,AUG FY2007,130,8,2007,1,2007-08-01
01-10-2019,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2007,OCT FY2007,294,10,2007,1,2007-10-01
01-09-2019,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2007,SEP FY2007,220,9,2007,1,2007-09-01
01-08-2020,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2011,AUG FY2011,45,8,2011,1,2011-08-01
01-10-2020,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2011,OCT FY2011,363,10,2011,1,2011-10-01
01-09-2020,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2011,SEP FY2011,280,9,2011,1,2011-09-01
01-08-2021,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2012,AUG FY2012,258,8,2012,1,2012-08-01
01-10-2021,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2012,OCT FY2012,183,10,2012,1,2012-10-01
01-09-2021,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2012,SEP FY2012,162,9,2012,1,2012-09-01
01-08-2022,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,AUG FY2022,190,8,2022,1,2022-08-01
01-10-2022,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,OCT FY2022,204,10,2022,1,2022-10-01
01-09-2022,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2022,SEP FY2022,52,9,2022,1,2022-09-01
01-12-2013,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,DEC FY2013,174,12,2013,2,2013-12-01
01-01-2013,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,JAN FY2013,63,1,2013,2,2013-01-01
01-11-2013,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,NOV FY2013,34,11,2013,2,2013-11-01
01-12-2014,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,DEC FY2014,99,12,2014,2,2014-12-01
01-01-2014,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,JAN FY2014,71,1,2014,2,2014-01-01
01-11-2014,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,NOV FY2014,83,11,2014,2,2014-11-01
01-12-2015,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2015,DEC FY2015,114,12,2015,2,2015-12-01
01-01-2015,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2015,JAN FY2015,156,1,2015,2,2015-01-01
01-11-2015,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2015,NOV FY2015,115,11,2015,2,2015-11-01
01-12-2016,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2022,DEC FY2022,194,12,2022,2,2022-12-01
01-01-2016,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2022,JAN FY2022,99,1,2022,2,2022-01-01
01-11-2016,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2022,NOV FY2022,59,11,2022,2,2022-11-01
01-12-2017,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2002,DEC FY2002,248,12,2002,2,2002-12-01
