Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,UOPBLRBU,C9300,C9300-24P,Q1 FY2008,AUG FY2008,86,8,2008,1,2008-08-01
01-10-2018,UOPBLRBU,C9300,C9300-24P,Q1 FY2008,OCT FY2008,2253,10,2008,1,2008-10-01
01-09-2018,UOPBLRBU,C9300,C9300-24P,Q1 FY2008,SEP FY2008,169,9,2008,1,2008-09-01
01-08-2019,UOPBLRBU,C9300,C9300-24P,Q1 FY2007,AUG FY2007,2316,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9300,C9300-24P,Q1 FY2007,OCT FY2007,7424,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9300,C9300-24P,Q1 FY2007,SEP FY2007,3908,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9300,C9300-24P,Q1 FY2011,AUG FY2011,6220,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9300,C9300-24P,Q1 FY2011,OCT FY2011,7484,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9300,C9300-24P,Q1 FY2011,SEP FY2011,3561,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9300,C9300-24P,Q1 FY2012,AUG FY2012,2662,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9300,C9300-24P,Q1 FY2012,OCT FY2012,6001,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9300,C9300-24P,Q1 FY2012,SEP FY2012,3826,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9300,C9300-24P,Q1 FY2022,AUG FY2022,5922,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9300,C9300-24P,Q1 FY2022,OCT FY2022,11644,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9300,C9300-24P,Q1 FY2022,SEP FY2022,5558,9,2022,1,2022-09-01
01-12-2018,UOPBLRBU,C9300,C9300-24P,Q2 FY2008,DEC FY2008,1307,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C9300,C9300-24P,Q2 FY2008,JAN FY2008,2039,1,2008,2,2008-01-01
01-11-2018,UOPBLRBU,C9300,C9300-24P,Q2 FY2008,NOV FY2008,642,11,2008,2,2008-11-01
01-12-2019,UOPBLRBU,C9300,C9300-24P,Q2 FY2007,DEC FY2007,5074,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C9300,C9300-24P,Q2 FY2007,JAN FY2007,4471,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C9300,C9300-24P,Q2 FY2007,NOV FY2007,4130,11,2007,2,2007-11-01
01-12-2020,UOPBLRBU,C9300,C9300-24P,Q2 FY2011,DEC FY2011,4217,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C9300,C9300-24P,Q2 FY2011,JAN FY2011,4959,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C9300,C9300-24P,Q2 FY2011,NOV FY2011,3170,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C9300,C9300-24P,Q2 FY2012,DEC FY2012,8312,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C9300,C9300-24P,Q2 FY2012,JAN FY2012,5314,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C9300,C9300-24P,Q2 FY2012,NOV FY2012,4491,11,2012,2,2012-11-01
01-12-2022,UOPBLRBU,C9300,C9300-24P,Q2 FY2022,DEC FY2022,4873,12,2022,2,2022-12-01
01-01-2022,UOPBLRBU,C9300,C9300-24P,Q2 FY2022,JAN FY2022,7966,1,2022,2,2022-01-01
01-11-2022,UOPBLRBU,C9300,C9300-24P,Q2 FY2022,NOV FY2022,6125,11,2022,2,2022-11-01
01-04-2018,UOPBLRBU,C9300,C9300-24P,Q3 FY2008,APR FY2008,3428,4,2008,3,2008-04-01
01-02-2018,UOPBLRBU,C9300,C9300-24P,Q3 FY2008,FEB FY2008,1440,2,2008,3,2008-02-01
01-03-2018,UOPBLRBU,C9300,C9300-24P,Q3 FY2008,MAR FY2008,1222,3,2008,3,2008-03-01
01-04-2019,UOPBLRBU,C9300,C9300-24P,Q3 FY2007,APR FY2007,6530,4,2007,3,2007-04-01
01-02-2019,UOPBLRBU,C9300,C9300-24P,Q3 FY2007,FEB FY2007,2711,2,2007,3,2007-02-01
01-03-2019,UOPBLRBU,C9300,C9300-24P,Q3 FY2007,MAR FY2007,4325,3,2007,3,2007-03-01
01-04-2020,UOPBLRBU,C9300,C9300-24P,Q3 FY2011,APR FY2011,6183,4,2011,3,2011-04-01
01-02-2020,UOPBLRBU,C9300,C9300-24P,Q3 FY2011,FEB FY2011,4108,2,2011,3,2011-02-01
01-03-2020,UOPBLRBU,C9300,C9300-24P,Q3 FY2011,MAR FY2011,4032,3,2011,3,2011-03-01
01-04-2021,UOPBLRBU,C9300,C9300-24P,Q3 FY2012,APR FY2012,6270,4,2012,3,2012-04-01
01-02-2021,UOPBLRBU,C9300,C9300-24P,Q3 FY2012,FEB FY2012,4580,2,2012,3,2012-02-01
01-03-2021,UOPBLRBU,C9300,C9300-24P,Q3 FY2012,MAR FY2012,5694,3,2012,3,2012-03-01
01-07-2017,UOPBLRBU,C9300,C9300-24P,Q4 FY2002,JUL FY2002,315,7,2002,4,2002-07-01
01-06-2017,UOPBLRBU,C9300,C9300-24P,Q4 FY2002,JUN FY2002,32,6,2002,4,2002-06-01
01-07-2018,UOPBLRBU,C9300,C9300-24P,Q4 FY2008,JUL FY2008,11734,7,2008,4,2008-07-01
01-06-2018,UOPBLRBU,C9300,C9300-24P,Q4 FY2008,JUN FY2008,4293,6,2008,4,2008-06-01
01-05-2018,UOPBLRBU,C9300,C9300-24P,Q4 FY2008,MAY FY2008,1764,5,2008,4,2008-05-01
01-07-2019,UOPBLRBU,C9300,C9300-24P,Q4 FY2007,JUL FY2007,10613,7,2007,4,2007-07-01
01-06-2019,UOPBLRBU,C9300,C9300-24P,Q4 FY2007,JUN FY2007,5171,6,2007,4,2007-06-01
01-05-2019,UOPBLRBU,C9300,C9300-24P,Q4 FY2007,MAY FY2007,4102,5,2007,4,2007-05-01
01-07-2020,UOPBLRBU,C9300,C9300-24P,Q4 FY2011,JUL FY2011,8070,7,2011,4,2011-07-01
01-06-2020,UOPBLRBU,C9300,C9300-24P,Q4 FY2011,JUN FY2011,2600,6,2011,4,2011-06-01
