Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,AUG FY2007,5,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,OCT FY2007,1065,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9300,C9300-48UN,Q1 FY2007,SEP FY2007,19,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,AUG FY2011,538,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,OCT FY2011,1560,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9300,C9300-48UN,Q1 FY2011,SEP FY2011,992,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,AUG FY2012,1043,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,OCT FY2012,3273,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9300,C9300-48UN,Q1 FY2012,SEP FY2012,1144,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,AUG FY2022,2615,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,OCT FY2022,12110,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9300,C9300-48UN,Q1 FY2022,SEP FY2022,12439,9,2022,1,2022-09-01
01-12-2019,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,DEC FY2007,470,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,JAN FY2007,1025,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C9300,C9300-48UN,Q2 FY2007,NOV FY2007,239,11,2007,2,2007-11-01
01-12-2020,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,DEC FY2011,1108,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,JAN FY2011,1152,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C9300,C9300-48UN,Q2 FY2011,NOV FY2011,1673,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,DEC FY2012,1350,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,JAN FY2012,3268,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C9300,C9300-48UN,Q2 FY2012,NOV FY2012,2121,11,2012,2,2012-11-01
01-12-2022,UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,DEC FY2022,3051,12,2022,2,2022-12-01
01-01-2022,UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,JAN FY2022,5110,1,2022,2,2022-01-01
01-11-2022,UOPBLRBU,C9300,C9300-48UN,Q2 FY2022,NOV FY2022,7007,11,2022,2,2022-11-01
01-04-2019,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,APR FY2007,1162,4,2007,3,2007-04-01
01-02-2019,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,FEB FY2007,369,2,2007,3,2007-02-01
01-03-2019,UOPBLRBU,C9300,C9300-48UN,Q3 FY2007,MAR FY2007,1451,3,2007,3,2007-03-01
01-04-2020,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,APR FY2011,2110,4,2011,3,2011-04-01
01-02-2020,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,FEB FY2011,1198,2,2011,3,2011-02-01
01-03-2020,UOPBLRBU,C9300,C9300-48UN,Q3 FY2011,MAR FY2011,1767,3,2011,3,2011-03-01
01-04-2021,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,APR FY2012,6354,4,2012,3,2012-04-01
01-02-2021,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,FEB FY2012,2728,2,2012,3,2012-02-01
01-03-2021,UOPBLRBU,C9300,C9300-48UN,Q3 FY2012,MAR FY2012,3193,3,2012,3,2012-03-01
01-07-2018,UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUL FY2008,202,7,2008,4,2008-07-01
01-06-2018,UOPBLRBU,C9300,C9300-48UN,Q4 FY2008,JUN FY2008,29,6,2008,4,2008-06-01
01-07-2019,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUL FY2007,4588,7,2007,4,2007-07-01
01-06-2019,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,JUN FY2007,1976,6,2007,4,2007-06-01
01-05-2019,UOPBLRBU,C9300,C9300-48UN,Q4 FY2007,MAY FY2007,852,5,2007,4,2007-05-01
01-07-2020,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUL FY2011,3994,7,2011,4,2011-07-01
01-06-2020,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,JUN FY2011,1344,6,2011,4,2011-06-01
01-05-2020,UOPBLRBU,C9300,C9300-48UN,Q4 FY2011,MAY FY2011,735,5,2011,4,2011-05-01
01-07-2021,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUL FY2012,7544,7,2012,4,2012-07-01
01-06-2021,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,JUN FY2012,2223,6,2012,4,2012-06-01
01-05-2021,UOPBLRBU,C9300,C9300-48UN,Q4 FY2012,MAY FY2012,4171,5,2012,4,2012-05-01
