Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,AUG FY2008,948,8,2008,1,2008-08-01
01-10-2018,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,OCT FY2008,5418,10,2008,1,2008-10-01
01-09-2018,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2008,SEP FY2008,1596,9,2008,1,2008-09-01
01-08-2019,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,AUG FY2007,9440,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,OCT FY2007,30825,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2007,SEP FY2007,15997,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,AUG FY2011,18476,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,OCT FY2011,38870,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2011,SEP FY2011,18518,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,AUG FY2012,15949,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,OCT FY2012,36218,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2012,SEP FY2012,19297,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,AUG FY2022,26245,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,OCT FY2022,67954,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9300,C9300-NM-8X,Q1 FY2022,SEP FY2022,41264,9,2022,1,2022-09-01
01-12-2018,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,DEC FY2008,7430,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,JAN FY2008,13494,1,2008,2,2008-01-01
01-11-2018,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2008,NOV FY2008,4186,11,2008,2,2008-11-01
01-12-2019,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,DEC FY2007,22989,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,JAN FY2007,26470,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2007,NOV FY2007,19031,11,2007,2,2007-11-01
01-12-2020,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,DEC FY2011,26934,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,JAN FY2011,27175,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2011,NOV FY2011,26028,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,DEC FY2012,28918,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,JAN FY2012,38421,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2012,NOV FY2012,37311,11,2012,2,2012-11-01
01-12-2022,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2022,DEC FY2022,32556,12,2022,2,2022-12-01
01-01-2022,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2022,JAN FY2022,43210,1,2022,2,2022-01-01
01-11-2022,UOPBLRBU,C9300,C9300-NM-8X,Q2 FY2022,NOV FY2022,43399,11,2022,2,2022-11-01
01-04-2018,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,APR FY2008,21114,4,2008,3,2008-04-01
01-02-2018,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,FEB FY2008,7664,2,2008,3,2008-02-01
01-03-2018,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2008,MAR FY2008,11065,3,2008,3,2008-03-01
01-04-2019,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,APR FY2007,32678,4,2007,3,2007-04-01
01-02-2019,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,FEB FY2007,15996,2,2007,3,2007-02-01
01-03-2019,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2007,MAR FY2007,22576,3,2007,3,2007-03-01
01-04-2020,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,APR FY2011,35939,4,2011,3,2011-04-01
01-02-2020,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,FEB FY2011,19701,2,2011,3,2011-02-01
01-03-2020,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2011,MAR FY2011,26261,3,2011,3,2011-03-01
01-04-2021,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,APR FY2012,51329,4,2012,3,2012-04-01
01-02-2021,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,FEB FY2012,30496,2,2012,3,2012-02-01
01-03-2021,UOPBLRBU,C9300,C9300-NM-8X,Q3 FY2012,MAR FY2012,31071,3,2012,3,2012-03-01
01-07-2017,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUL FY2002,3902,7,2002,4,2002-07-01
01-06-2017,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2002,JUN FY2002,148,6,2002,4,2002-06-01
01-07-2018,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUL FY2008,42483,7,2008,4,2008-07-01
01-06-2018,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,JUN FY2008,20592,6,2008,4,2008-06-01
01-05-2018,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2008,MAY FY2008,11943,5,2008,4,2008-05-01
01-07-2019,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUL FY2007,57727,7,2007,4,2007-07-01
01-06-2019,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,JUN FY2007,21473,6,2007,4,2007-06-01
01-05-2019,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2007,MAY FY2007,20750,5,2007,4,2007-05-01
01-07-2020,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,JUL FY2011,44281,7,2011,4,2011-07-01
01-06-2020,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,JUN FY2011,23244,6,2011,4,2011-06-01
01-05-2020,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2011,MAY FY2011,19789,5,2011,4,2011-05-01
01-07-2021,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,JUL FY2012,64027,7,2012,4,2012-07-01
01-06-2021,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,JUN FY2012,31637,6,2012,4,2012-06-01
01-05-2021,UOPBLRBU,C9300,C9300-NM-8X,Q4 FY2012,MAY FY2012,27737,5,2012,4,2012-05-01
