Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,AUG FY2011,15,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,OCT FY2011,93,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2011,SEP FY2011,39,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,AUG FY2012,186,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,OCT FY2012,234,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2012,SEP FY2012,278,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,AUG FY2022,551,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,OCT FY2022,799,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q1 FY2022,SEP FY2022,611,9,2022,1,2022-09-01
01-12-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,DEC FY2011,80,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,JAN FY2011,79,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2011,NOV FY2011,65,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,DEC FY2012,267,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,JAN FY2012,212,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2012,NOV FY2012,191,11,2012,2,2012-11-01
01-12-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,DEC FY2022,1179,12,2022,2,2022-12-01
01-01-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,JAN FY2022,1724,1,2022,2,2022-01-01
01-11-2022,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q2 FY2022,NOV FY2022,311,11,2022,2,2022-11-01
01-04-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,APR FY2011,159,4,2011,3,2011-04-01
01-02-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,FEB FY2011,44,2,2011,3,2011-02-01
01-03-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2011,MAR FY2011,160,3,2011,3,2011-03-01
01-04-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,APR FY2012,483,4,2012,3,2012-04-01
01-02-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,FEB FY2012,280,2,2012,3,2012-02-01
01-03-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q3 FY2012,MAR FY2012,556,3,2012,3,2012-03-01
01-07-2019,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2007,JUL FY2007,21,7,2007,4,2007-07-01
01-06-2019,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2007,JUN FY2007,0,6,2007,4,2007-06-01
01-07-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,JUL FY2011,456,7,2011,4,2011-07-01
01-06-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,JUN FY2011,143,6,2011,4,2011-06-01
01-05-2020,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2011,MAY FY2011,174,5,2011,4,2011-05-01
01-07-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,JUL FY2012,796,7,2012,4,2012-07-01
01-06-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,JUN FY2012,387,6,2012,4,2012-06-01
01-05-2021,UOPBLRBU,C9300L,C9300L-24T-4X-A,Q4 FY2012,MAY FY2012,315,5,2012,4,2012-05-01
