Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2022,EBBU,C9300AG,C9300X-12Y,Q1 FY2022,AUG FY2022,269,8,2022,1,2022-08-01
01-10-2022,EBBU,C9300AG,C9300X-12Y,Q1 FY2022,OCT FY2022,649,10,2022,1,2022-10-01
01-09-2022,EBBU,C9300AG,C9300X-12Y,Q1 FY2022,SEP FY2022,361,9,2022,1,2022-09-01
01-12-2022,EBBU,C9300AG,C9300X-12Y,Q2 FY2022,DEC FY2022,616,12,2022,2,2022-12-01
01-01-2022,EBBU,C9300AG,C9300X-12Y,Q2 FY2022,JAN FY2022,649,1,2022,2,2022-01-01
01-11-2022,EBBU,C9300AG,C9300X-12Y,Q2 FY2022,NOV FY2022,842,11,2022,2,2022-11-01
01-04-2021,EBBU,C9300AG,C9300X-12Y,Q3 FY2012,APR FY2012,0,4,2012,3,2012-04-01
01-07-2021,EBBU,C9300AG,C9300X-12Y,Q4 FY2012,JUL FY2012,468,7,2012,4,2012-07-01
01-06-2021,EBBU,C9300AG,C9300X-12Y,Q4 FY2012,JUN FY2012,175,6,2012,4,2012-06-01
01-05-2021,EBBU,C9300AG,C9300X-12Y,Q4 FY2012,MAY FY2012,83,5,2012,4,2012-05-01
