Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,AUG FY2007,30,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,OCT FY2007,16,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2007,SEP FY2007,0,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,AUG FY2011,159,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,OCT FY2011,882,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2011,SEP FY2011,210,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,AUG FY2012,147,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,OCT FY2012,498,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2012,SEP FY2012,366,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,AUG FY2022,334,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,OCT FY2022,1448,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q1 FY2022,SEP FY2022,562,9,2022,1,2022-09-01
01-12-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,DEC FY2007,87,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,JAN FY2007,49,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C9400,C9400-SUP-1XL-Y,Q2 FY2007,NOV FY2007,176,11,2007,2,2007-11-01
