Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,AUG FY2007,229,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,OCT FY2007,949,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2007,SEP FY2007,390,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,AUG FY2011,703,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,OCT FY2011,2588,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2011,SEP FY2011,1169,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,AUG FY2012,747,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,OCT FY2012,2177,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2012,SEP FY2012,1014,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,AUG FY2022,1263,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,OCT FY2022,2785,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q1 FY2022,SEP FY2022,1337,9,2022,1,2022-09-01
01-12-2018,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,DEC FY2008,10,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,JAN FY2008,232,1,2008,2,2008-01-01
01-11-2018,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2008,NOV FY2008,36,11,2008,2,2008-11-01
01-12-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,DEC FY2007,1849,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,JAN FY2007,995,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2007,NOV FY2007,943,11,2007,2,2007-11-01
01-12-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,DEC FY2011,1725,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,JAN FY2011,1731,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2011,NOV FY2011,1182,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,DEC FY2012,1154,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,JAN FY2012,1433,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2012,NOV FY2012,1068,11,2012,2,2012-11-01
01-12-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,DEC FY2022,1777,12,2022,2,2022-12-01
01-01-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,JAN FY2022,2590,1,2022,2,2022-01-01
01-11-2022,UOPBLRBU,C9400,C9400-SUP-1XL,Q2 FY2022,NOV FY2022,2984,11,2022,2,2022-11-01
01-04-2018,UOPBLRBU,C9400,C9400-SUP-1XL,Q3 FY2008,APR FY2008,390,4,2008,3,2008-04-01
