Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2008,AUG FY2008,32,8,2008,1,2008-08-01
01-10-2018,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2008,OCT FY2008,78,10,2008,1,2008-10-01
01-09-2018,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2008,SEP FY2008,1,9,2008,1,2008-09-01
01-08-2019,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2007,AUG FY2007,165,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2007,OCT FY2007,455,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2007,SEP FY2007,165,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2011,AUG FY2011,132,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2011,OCT FY2011,384,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2011,SEP FY2011,126,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2012,AUG FY2012,170,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2012,OCT FY2012,352,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2012,SEP FY2012,201,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2022,AUG FY2022,242,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2022,OCT FY2022,356,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q1 FY2022,SEP FY2022,182,9,2022,1,2022-09-01
01-12-2018,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q2 FY2008,DEC FY2008,91,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C9400,C9407R-96U-BNDL-E,Q2 FY2008,JAN FY2008,171,1,2008,2,2008-01-01
