Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2015,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2015,AUG FY2015,1,8,2015,1,2015-08-01
01-10-2015,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2015,OCT FY2015,2180,10,2015,1,2015-10-01
01-09-2015,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2015,SEP FY2015,4061,9,2015,1,2015-09-01
01-08-2016,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2022,AUG FY2022,12112,8,2022,1,2022-08-01
01-10-2016,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2022,OCT FY2022,21240,10,2022,1,2022-10-01
01-09-2016,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2022,SEP FY2022,13938,9,2022,1,2022-09-01
01-08-2017,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2002,AUG FY2002,19955,8,2002,1,2002-08-01
01-10-2017,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2002,OCT FY2002,57999,10,2002,1,2002-10-01
01-09-2017,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2002,SEP FY2002,33253,9,2002,1,2002-09-01
01-08-2018,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2008,AUG FY2008,29332,8,2008,1,2008-08-01
01-10-2018,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2008,OCT FY2008,49762,10,2008,1,2008-10-01
01-09-2018,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2008,SEP FY2008,24114,9,2008,1,2008-09-01
01-08-2019,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2007,AUG FY2007,34813,8,2007,1,2007-08-01
01-10-2019,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2007,OCT FY2007,48586,10,2007,1,2007-10-01
01-09-2019,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2007,SEP FY2007,37723,9,2007,1,2007-09-01
01-08-2020,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2011,AUG FY2011,15534,8,2011,1,2011-08-01
01-10-2020,UCEBU,PHONVOC,CP-8811-K9,Q1 FY2011,OCT FY2011,94934,10,2011,1,2011-10-01
