Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,AUG FY2002,1485,8,2002,1,2002-08-01
01-10-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,OCT FY2002,19870,10,2002,1,2002-10-01
01-09-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2002,SEP FY2002,3166,9,2002,1,2002-09-01
01-08-2018,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,AUG FY2008,8441,8,2008,1,2008-08-01
01-10-2018,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,OCT FY2008,15986,10,2008,1,2008-10-01
01-09-2018,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2008,SEP FY2008,9020,9,2008,1,2008-09-01
01-08-2019,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,AUG FY2007,22566,8,2007,1,2007-08-01
01-10-2019,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,OCT FY2007,22362,10,2007,1,2007-10-01
01-09-2019,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2007,SEP FY2007,20113,9,2007,1,2007-09-01
01-08-2020,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2011,AUG FY2011,6141,8,2011,1,2011-08-01
01-10-2020,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2011,OCT FY2011,17169,10,2011,1,2011-10-01
01-09-2020,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2011,SEP FY2011,5925,9,2011,1,2011-09-01
01-08-2021,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2012,AUG FY2012,10756,8,2012,1,2012-08-01
01-10-2021,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2012,OCT FY2012,13177,10,2012,1,2012-10-01
01-09-2021,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2012,SEP FY2012,8818,9,2012,1,2012-09-01
01-08-2022,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2022,AUG FY2022,8315,8,2022,1,2022-08-01
01-10-2022,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2022,OCT FY2022,14008,10,2022,1,2022-10-01
01-09-2022,UCEBU,WPHONE,CP-8821-K9-BUN,Q1 FY2022,SEP FY2022,9331,9,2022,1,2022-09-01
01-12-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,DEC FY2002,10336,12,2002,2,2002-12-01
01-01-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,JAN FY2002,9965,1,2002,2,2002-01-01
01-11-2017,UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2002,NOV FY2002,11008,11,2002,2,2002-11-01
01-12-2018,UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2008,DEC FY2008,10700,12,2008,2,2008-12-01
01-01-2018,UCEBU,WPHONE,CP-8821-K9-BUN,Q2 FY2008,JAN FY2008,10978,1,2008,2,2008-01-01
