Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,AUG FY2007,43,8,2007,1,2007-08-01
01-10-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,OCT FY2007,54,10,2007,1,2007-10-01
01-09-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2007,SEP FY2007,55,9,2007,1,2007-09-01
01-08-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,AUG FY2011,26,8,2011,1,2011-08-01
01-10-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,OCT FY2011,138,10,2011,1,2011-10-01
01-09-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2011,SEP FY2011,42,9,2011,1,2011-09-01
01-08-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,AUG FY2012,178,8,2012,1,2012-08-01
01-10-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,OCT FY2012,2207,10,2012,1,2012-10-01
01-09-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2012,SEP FY2012,72,9,2012,1,2012-09-01
01-08-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,AUG FY2022,734,8,2022,1,2022-08-01
01-10-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,OCT FY2022,1383,10,2022,1,2022-10-01
01-09-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q1 FY2022,SEP FY2022,1476,9,2022,1,2022-09-01
01-12-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,DEC FY2007,171,12,2007,2,2007-12-01
01-01-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,JAN FY2007,76,1,2007,2,2007-01-01
01-11-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2007,NOV FY2007,65,11,2007,2,2007-11-01
01-12-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,DEC FY2011,719,12,2011,2,2011-12-01
01-01-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,JAN FY2011,10,1,2011,2,2011-01-01
01-11-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2011,NOV FY2011,882,11,2011,2,2011-11-01
01-12-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,DEC FY2012,198,12,2012,2,2012-12-01
01-01-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,JAN FY2012,644,1,2012,2,2012-01-01
01-11-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2012,NOV FY2012,336,11,2012,2,2012-11-01
01-12-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,DEC FY2022,624,12,2022,2,2022-12-01
01-01-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,JAN FY2022,30354,1,2022,2,2022-01-01
01-11-2022,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q2 FY2022,NOV FY2022,36,11,2022,2,2022-11-01
01-04-2018,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2008,APR FY2008,55,4,2008,3,2008-04-01
01-04-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,APR FY2007,580,4,2007,3,2007-04-01
01-02-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,FEB FY2007,300,2,2007,3,2007-02-01
01-03-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2007,MAR FY2007,33,3,2007,3,2007-03-01
01-04-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,APR FY2011,515,4,2011,3,2011-04-01
01-02-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,FEB FY2011,370,2,2011,3,2011-02-01
01-03-2020,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2011,MAR FY2011,222,3,2011,3,2011-03-01
01-04-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,APR FY2012,1252,4,2012,3,2012-04-01
01-02-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,FEB FY2012,385,2,2012,3,2012-02-01
01-03-2021,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q3 FY2012,MAR FY2012,784,3,2012,3,2012-03-01
01-07-2018,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUL FY2008,68,7,2008,4,2008-07-01
01-06-2018,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,JUN FY2008,28,6,2008,4,2008-06-01
01-05-2018,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2008,MAY FY2008,2,5,2008,4,2008-05-01
01-07-2019,UCEBU,PHON3PC,CP-8865-3PCC-K9,Q4 FY2007,JUL FY2007,175,7,2007,4,2007-07-01
