Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,AUG FY2008,357,8,2008,1,2008-08-01
01-10-2018,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,OCT FY2008,1088,10,2008,1,2008-10-01
01-09-2018,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2008,SEP FY2008,380,9,2008,1,2008-09-01
01-08-2019,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,AUG FY2007,1906,8,2007,1,2007-08-01
01-10-2019,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,OCT FY2007,3445,10,2007,1,2007-10-01
01-09-2019,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2007,SEP FY2007,2020,9,2007,1,2007-09-01
01-08-2020,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,AUG FY2011,1470,8,2011,1,2011-08-01
01-10-2020,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,OCT FY2011,3708,10,2011,1,2011-10-01
01-09-2020,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2011,SEP FY2011,1980,9,2011,1,2011-09-01
01-08-2021,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,AUG FY2012,1830,8,2012,1,2012-08-01
01-10-2021,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,OCT FY2012,2946,10,2012,1,2012-10-01
01-09-2021,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2012,SEP FY2012,2100,9,2012,1,2012-09-01
01-08-2022,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,AUG FY2022,1357,8,2022,1,2022-08-01
01-10-2022,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,OCT FY2022,5431,10,2022,1,2022-10-01
01-09-2022,CVEBU,CTSQS,CS-CODEC-PLUS+,Q1 FY2022,SEP FY2022,1773,9,2022,1,2022-09-01
01-12-2018,CVEBU,CTSQS,CS-CODEC-PLUS+,Q2 FY2008,DEC FY2008,1095,12,2008,2,2008-12-01
