Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2021,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,AUG FY2012,2,8,2012,1,2012-08-01
01-10-2021,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,OCT FY2012,644,10,2012,1,2012-10-01
01-09-2021,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2012,SEP FY2012,258,9,2012,1,2012-09-01
01-08-2022,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,AUG FY2022,464,8,2022,1,2022-08-01
01-10-2022,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,OCT FY2022,730,10,2022,1,2022-10-01
01-09-2022,CPBU,DNAHW,DN2-CPU-I6238,Q1 FY2022,SEP FY2022,430,9,2022,1,2022-09-01
01-12-2021,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,DEC FY2012,476,12,2012,2,2012-12-01
01-01-2021,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,JAN FY2012,542,1,2012,2,2012-01-01
01-11-2021,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2012,NOV FY2012,448,11,2012,2,2012-11-01
01-12-2022,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,DEC FY2022,560,12,2022,2,2022-12-01
01-01-2022,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,JAN FY2022,664,1,2022,2,2022-01-01
01-11-2022,CPBU,DNAHW,DN2-CPU-I6238,Q2 FY2022,NOV FY2022,518,11,2022,2,2022-11-01
01-04-2020,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,APR FY2011,2,4,2011,3,2011-04-01
01-03-2020,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2011,MAR FY2011,2,3,2011,3,2011-03-01
01-04-2021,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,APR FY2012,588,4,2012,3,2012-04-01
01-02-2021,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,FEB FY2012,370,2,2012,3,2012-02-01
01-03-2021,CPBU,DNAHW,DN2-CPU-I6238,Q3 FY2012,MAR FY2012,412,3,2012,3,2012-03-01
01-07-2020,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUL FY2011,0,7,2011,4,2011-07-01
01-06-2020,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,JUN FY2011,0,6,2011,4,2011-06-01
01-05-2020,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2011,MAY FY2011,12,5,2011,4,2011-05-01
01-07-2021,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUL FY2012,1372,7,2012,4,2012-07-01
01-06-2021,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,JUN FY2012,538,6,2012,4,2012-06-01
01-05-2021,CPBU,DNAHW,DN2-CPU-I6238,Q4 FY2012,MAY FY2012,442,5,2012,4,2012-05-01
