Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,AUG FY2008,180,8,2008,1,2008-08-01
01-10-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,OCT FY2008,800,10,2008,1,2008-10-01
01-09-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2008,SEP FY2008,1136,9,2008,1,2008-09-01
01-08-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2007,AUG FY2007,6305,8,2007,1,2007-08-01
01-10-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2007,OCT FY2007,9788,10,2007,1,2007-10-01
01-09-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2007,SEP FY2007,3700,9,2007,1,2007-09-01
01-08-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2011,AUG FY2011,8862,8,2011,1,2011-08-01
01-10-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2011,OCT FY2011,22397,10,2011,1,2011-10-01
01-09-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2011,SEP FY2011,16048,9,2011,1,2011-09-01
01-08-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2012,AUG FY2012,29704,8,2012,1,2012-08-01
01-10-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2012,OCT FY2012,33725,10,2012,1,2012-10-01
01-09-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2012,SEP FY2012,29189,9,2012,1,2012-09-01
01-08-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2022,AUG FY2022,35701,8,2022,1,2022-08-01
01-10-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2022,OCT FY2022,55684,10,2022,1,2022-10-01
01-09-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q1 FY2022,SEP FY2022,39940,9,2022,1,2022-09-01
01-12-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,DEC FY2008,2844,12,2008,2,2008-12-01
01-01-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,JAN FY2008,1672,1,2008,2,2008-01-01
01-11-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2008,NOV FY2008,1484,11,2008,2,2008-11-01
01-12-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2007,DEC FY2007,15902,12,2007,2,2007-12-01
01-01-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2007,JAN FY2007,14849,1,2007,2,2007-01-01
01-11-2019,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2007,NOV FY2007,11248,11,2007,2,2007-11-01
01-12-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2011,DEC FY2011,19661,12,2011,2,2011-12-01
01-01-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2011,JAN FY2011,32662,1,2011,2,2011-01-01
01-11-2020,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2011,NOV FY2011,13669,11,2011,2,2011-11-01
01-12-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2012,DEC FY2012,31901,12,2012,2,2012-12-01
01-01-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2012,JAN FY2012,30179,1,2012,2,2012-01-01
01-11-2021,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2012,NOV FY2012,12102,11,2012,2,2012-11-01
01-12-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2022,DEC FY2022,94026,12,2022,2,2022-12-01
01-01-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2022,JAN FY2022,64327,1,2022,2,2022-01-01
01-11-2022,ECBU,MDS9000,DS-SFP-FC32G-SW,Q2 FY2022,NOV FY2022,34607,11,2022,2,2022-11-01
01-04-2017,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2002,APR FY2002,726,4,2002,3,2002-04-01
01-04-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,APR FY2008,5337,4,2008,3,2008-04-01
01-02-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,FEB FY2008,1414,2,2008,3,2008-02-01
01-03-2018,ECBU,MDS9000,DS-SFP-FC32G-SW,Q3 FY2008,MAR FY2008,2531,3,2008,3,2008-03-01
