Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,AUG FY2008,21,8,2008,1,2008-08-01
01-10-2018,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,OCT FY2008,60,10,2008,1,2008-10-01
01-09-2018,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2008,SEP FY2008,76,9,2008,1,2008-09-01
01-08-2019,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,AUG FY2007,124,8,2007,1,2007-08-01
01-10-2019,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,OCT FY2007,250,10,2007,1,2007-10-01
01-09-2019,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2007,SEP FY2007,193,9,2007,1,2007-09-01
01-08-2020,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,AUG FY2011,101,8,2011,1,2011-08-01
01-10-2020,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,OCT FY2011,681,10,2011,1,2011-10-01
01-09-2020,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2011,SEP FY2011,304,9,2011,1,2011-09-01
01-08-2021,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,AUG FY2012,487,8,2012,1,2012-08-01
01-10-2021,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,OCT FY2012,253,10,2012,1,2012-10-01
01-09-2021,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2012,SEP FY2012,495,9,2012,1,2012-09-01
01-08-2022,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,AUG FY2022,777,8,2022,1,2022-08-01
01-10-2022,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,OCT FY2022,452,10,2022,1,2022-10-01
01-09-2022,ECBU,MDS9000,DS-X9648-1536K9,Q1 FY2022,SEP FY2022,697,9,2022,1,2022-09-01
01-12-2018,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,DEC FY2008,274,12,2008,2,2008-12-01
01-01-2018,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,JAN FY2008,375,1,2008,2,2008-01-01
01-11-2018,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2008,NOV FY2008,72,11,2008,2,2008-11-01
01-12-2019,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,DEC FY2007,402,12,2007,2,2007-12-01
01-01-2019,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,JAN FY2007,418,1,2007,2,2007-01-01
01-11-2019,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2007,NOV FY2007,311,11,2007,2,2007-11-01
01-12-2020,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,DEC FY2011,310,12,2011,2,2011-12-01
01-01-2020,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,JAN FY2011,827,1,2011,2,2011-01-01
01-11-2020,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2011,NOV FY2011,159,11,2011,2,2011-11-01
01-12-2021,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,DEC FY2012,1225,12,2012,2,2012-12-01
01-01-2021,ECBU,MDS9000,DS-X9648-1536K9,Q2 FY2012,JAN FY2012,407,1,2012,2,2012-01-01
