Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2018,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2008,OCT FY2008,416,10,2008,1,2008-10-01
01-08-2019,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,AUG FY2007,1185,8,2007,1,2007-08-01
01-10-2019,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,OCT FY2007,2201,10,2007,1,2007-10-01
01-09-2019,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2007,SEP FY2007,825,9,2007,1,2007-09-01
01-08-2020,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,AUG FY2011,2985,8,2011,1,2011-08-01
01-10-2020,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,OCT FY2011,7508,10,2011,1,2011-10-01
01-09-2020,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2011,SEP FY2011,461,9,2011,1,2011-09-01
01-08-2021,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,AUG FY2012,1346,8,2012,1,2012-08-01
01-10-2021,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,OCT FY2012,2870,10,2012,1,2012-10-01
01-09-2021,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2012,SEP FY2012,2468,9,2012,1,2012-09-01
01-08-2022,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,AUG FY2022,1106,8,2022,1,2022-08-01
01-10-2022,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,OCT FY2022,1865,10,2022,1,2022-10-01
01-09-2022,CSA,HXSSD,HX-SD38T61X-EV,Q1 FY2022,SEP FY2022,2230,9,2022,1,2022-09-01
01-12-2018,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,DEC FY2008,332,12,2008,2,2008-12-01
01-01-2018,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,JAN FY2008,1669,1,2008,2,2008-01-01
01-11-2018,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2008,NOV FY2008,880,11,2008,2,2008-11-01
01-12-2019,CSA,HXSSD,HX-SD38T61X-EV,Q2 FY2007,DEC FY2007,3152,12,2007,2,2007-12-01
