Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,AUG FY2022,4,8,2022,1,2022-08-01
01-10-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,OCT FY2022,12,10,2022,1,2022-10-01
01-09-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,SEP FY2022,17,9,2022,1,2022-09-01
01-08-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,AUG FY2002,4,8,2002,1,2002-08-01
01-10-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,OCT FY2002,81,10,2002,1,2002-10-01
01-09-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,SEP FY2002,96,9,2002,1,2002-09-01
01-08-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,AUG FY2008,39,8,2008,1,2008-08-01
01-10-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,OCT FY2008,91,10,2008,1,2008-10-01
01-09-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,SEP FY2008,138,9,2008,1,2008-09-01
01-08-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,AUG FY2007,54,8,2007,1,2007-08-01
01-10-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,OCT FY2007,414,10,2007,1,2007-10-01
01-09-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,SEP FY2007,108,9,2007,1,2007-09-01
01-08-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2011,AUG FY2011,303,8,2011,1,2011-08-01
01-10-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2011,OCT FY2011,1299,10,2011,1,2011-10-01
01-09-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2011,SEP FY2011,292,9,2011,1,2011-09-01
01-08-2021,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2012,AUG FY2012,399,8,2012,1,2012-08-01
01-10-2021,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2012,OCT FY2012,1593,10,2012,1,2012-10-01
01-09-2021,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2012,SEP FY2012,1353,9,2012,1,2012-09-01
01-08-2022,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,AUG FY2022,3079,8,2022,1,2022-08-01
01-10-2022,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,OCT FY2022,3237,10,2022,1,2022-10-01
01-09-2022,IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,SEP FY2022,2246,9,2022,1,2022-09-01
01-12-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,DEC FY2022,28,12,2022,2,2022-12-01
01-01-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,JAN FY2022,60,1,2022,2,2022-01-01
01-11-2016,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,NOV FY2022,3,11,2022,2,2022-11-01
01-12-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,DEC FY2002,102,12,2002,2,2002-12-01
01-01-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,JAN FY2002,46,1,2002,2,2002-01-01
01-11-2017,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,NOV FY2002,36,11,2002,2,2002-11-01
01-12-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,DEC FY2008,75,12,2008,2,2008-12-01
01-01-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,JAN FY2008,100,1,2008,2,2008-01-01
01-11-2018,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,NOV FY2008,31,11,2008,2,2008-11-01
01-12-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,DEC FY2007,254,12,2007,2,2007-12-01
01-01-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,JAN FY2007,928,1,2007,2,2007-01-01
01-11-2019,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,NOV FY2007,210,11,2007,2,2007-11-01
01-12-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2011,DEC FY2011,1458,12,2011,2,2011-12-01
01-01-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2011,JAN FY2011,603,1,2011,2,2011-01-01
01-11-2020,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2011,NOV FY2011,1580,11,2011,2,2011-11-01
01-12-2021,IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2012,DEC FY2012,780,12,2012,2,2012-12-01
