Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2017,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2002,OCT FY2002,40,10,2002,1,2002-10-01
01-09-2017,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2002,SEP FY2002,11,9,2002,1,2002-09-01
01-08-2018,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,AUG FY2008,104,8,2008,1,2008-08-01
01-10-2018,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,OCT FY2008,207,10,2008,1,2008-10-01
01-09-2018,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2008,SEP FY2008,147,9,2008,1,2008-09-01
01-08-2019,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,AUG FY2007,392,8,2007,1,2007-08-01
01-10-2019,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,OCT FY2007,761,10,2007,1,2007-10-01
01-09-2019,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2007,SEP FY2007,282,9,2007,1,2007-09-01
01-08-2020,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2011,AUG FY2011,351,8,2011,1,2011-08-01
01-10-2020,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2011,OCT FY2011,475,10,2011,1,2011-10-01
01-09-2020,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2011,SEP FY2011,875,9,2011,1,2011-09-01
01-08-2021,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2012,AUG FY2012,499,8,2012,1,2012-08-01
01-10-2021,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2012,OCT FY2012,1415,10,2012,1,2012-10-01
01-09-2021,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2012,SEP FY2012,559,9,2012,1,2012-09-01
01-08-2022,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2022,AUG FY2022,1208,8,2022,1,2022-08-01
01-10-2022,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2022,OCT FY2022,1700,10,2022,1,2022-10-01
01-09-2022,IOTBU,IE4000,IE-4010-16S12P,Q1 FY2022,SEP FY2022,723,9,2022,1,2022-09-01
01-12-2017,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,DEC FY2002,141,12,2002,2,2002-12-01
01-01-2017,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,JAN FY2002,57,1,2002,2,2002-01-01
01-11-2017,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2002,NOV FY2002,52,11,2002,2,2002-11-01
01-12-2018,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,DEC FY2008,127,12,2008,2,2008-12-01
01-01-2018,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,JAN FY2008,107,1,2008,2,2008-01-01
01-11-2018,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2008,NOV FY2008,100,11,2008,2,2008-11-01
01-12-2019,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,DEC FY2007,273,12,2007,2,2007-12-01
01-01-2019,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,JAN FY2007,142,1,2007,2,2007-01-01
01-11-2019,IOTBU,IE4000,IE-4010-16S12P,Q2 FY2007,NOV FY2007,227,11,2007,2,2007-11-01
