Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,AUG FY2007,2,8,2007,1,2007-08-01
01-10-2019,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,OCT FY2007,5074,10,2007,1,2007-10-01
01-09-2019,BATBU,NCS540,N540-PWR400-D,Q1 FY2007,SEP FY2007,216,9,2007,1,2007-09-01
01-08-2020,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,AUG FY2011,4170,8,2011,1,2011-08-01
01-10-2020,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,OCT FY2011,2814,10,2011,1,2011-10-01
01-09-2020,BATBU,NCS540,N540-PWR400-D,Q1 FY2011,SEP FY2011,1426,9,2011,1,2011-09-01
01-08-2021,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,AUG FY2012,3872,8,2012,1,2012-08-01
01-10-2021,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,OCT FY2012,6169,10,2012,1,2012-10-01
01-09-2021,BATBU,NCS540,N540-PWR400-D,Q1 FY2012,SEP FY2012,1003,9,2012,1,2012-09-01
01-08-2022,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,AUG FY2022,2525,8,2022,1,2022-08-01
01-10-2022,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,OCT FY2022,6515,10,2022,1,2022-10-01
01-09-2022,BATBU,NCS540,N540-PWR400-D,Q1 FY2022,SEP FY2022,3723,9,2022,1,2022-09-01
01-12-2019,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,DEC FY2007,114,12,2007,2,2007-12-01
01-01-2019,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,JAN FY2007,224,1,2007,2,2007-01-01
01-11-2019,BATBU,NCS540,N540-PWR400-D,Q2 FY2007,NOV FY2007,50,11,2007,2,2007-11-01
01-12-2020,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,DEC FY2011,2439,12,2011,2,2011-12-01
01-01-2020,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,JAN FY2011,558,1,2011,2,2011-01-01
01-11-2020,BATBU,NCS540,N540-PWR400-D,Q2 FY2011,NOV FY2011,3774,11,2011,2,2011-11-01
01-12-2021,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,DEC FY2012,8000,12,2012,2,2012-12-01
01-01-2021,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,JAN FY2012,3956,1,2012,2,2012-01-01
01-11-2021,BATBU,NCS540,N540-PWR400-D,Q2 FY2012,NOV FY2012,1426,11,2012,2,2012-11-01
01-12-2022,BATBU,NCS540,N540-PWR400-D,Q2 FY2022,DEC FY2022,2329,12,2022,2,2022-12-01
01-01-2022,BATBU,NCS540,N540-PWR400-D,Q2 FY2022,JAN FY2022,6585,1,2022,2,2022-01-01
01-11-2022,BATBU,NCS540,N540-PWR400-D,Q2 FY2022,NOV FY2022,4312,11,2022,2,2022-11-01
01-04-2018,BATBU,NCS540,N540-PWR400-D,Q3 FY2008,APR FY2008,42,4,2008,3,2008-04-01
01-03-2018,BATBU,NCS540,N540-PWR400-D,Q3 FY2008,MAR FY2008,4,3,2008,3,2008-03-01
01-04-2019,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,APR FY2007,1643,4,2007,3,2007-04-01
01-02-2019,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,FEB FY2007,639,2,2007,3,2007-02-01
01-03-2019,BATBU,NCS540,N540-PWR400-D,Q3 FY2007,MAR FY2007,598,3,2007,3,2007-03-01
01-04-2020,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,APR FY2011,2710,4,2011,3,2011-04-01
01-02-2020,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,FEB FY2011,1590,2,2011,3,2011-02-01
01-03-2020,BATBU,NCS540,N540-PWR400-D,Q3 FY2011,MAR FY2011,1552,3,2011,3,2011-03-01
01-04-2021,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,APR FY2012,7158,4,2012,3,2012-04-01
01-02-2021,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,FEB FY2012,2629,2,2012,3,2012-02-01
01-03-2021,BATBU,NCS540,N540-PWR400-D,Q3 FY2012,MAR FY2012,8172,3,2012,3,2012-03-01
