Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,AUG FY2008,31,8,2008,1,2008-08-01
01-10-2018,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,OCT FY2008,99,10,2008,1,2008-10-01
01-09-2018,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,SEP FY2008,120,9,2008,1,2008-09-01
01-08-2019,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,AUG FY2007,285,8,2007,1,2007-08-01
01-10-2019,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,OCT FY2007,778,10,2007,1,2007-10-01
01-09-2019,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,SEP FY2007,266,9,2007,1,2007-09-01
01-08-2020,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,AUG FY2011,487,8,2011,1,2011-08-01
01-10-2020,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,OCT FY2011,1489,10,2011,1,2011-10-01
01-09-2020,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,SEP FY2011,870,9,2011,1,2011-09-01
01-08-2021,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,AUG FY2012,618,8,2012,1,2012-08-01
01-10-2021,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,OCT FY2012,1711,10,2012,1,2012-10-01
01-09-2021,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,SEP FY2012,704,9,2012,1,2012-09-01
01-08-2022,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,AUG FY2022,2471,8,2022,1,2022-08-01
01-10-2022,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,OCT FY2022,2463,10,2022,1,2022-10-01
01-09-2022,QKBU,N9300,N9K-C93108TC-FX,Q1 FY2022,SEP FY2022,669,9,2022,1,2022-09-01
01-12-2018,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,DEC FY2008,110,12,2008,2,2008-12-01
01-01-2018,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,JAN FY2008,353,1,2008,2,2008-01-01
01-11-2018,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,NOV FY2008,54,11,2008,2,2008-11-01
01-12-2019,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,DEC FY2007,992,12,2007,2,2007-12-01
01-01-2019,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,JAN FY2007,798,1,2007,2,2007-01-01
01-11-2019,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,NOV FY2007,166,11,2007,2,2007-11-01
01-12-2020,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,DEC FY2011,895,12,2011,2,2011-12-01
01-01-2020,QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,JAN FY2011,1168,1,2011,2,2011-01-01
