Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,AUG FY2008,39,8,2008,1,2008-08-01
01-10-2018,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,OCT FY2008,397,10,2008,1,2008-10-01
01-09-2018,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,SEP FY2008,97,9,2008,1,2008-09-01
01-08-2019,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,AUG FY2007,583,8,2007,1,2007-08-01
01-10-2019,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,OCT FY2007,1929,10,2007,1,2007-10-01
01-09-2019,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,SEP FY2007,847,9,2007,1,2007-09-01
01-08-2020,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,AUG FY2011,1114,8,2011,1,2011-08-01
01-10-2020,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,OCT FY2011,2652,10,2011,1,2011-10-01
01-09-2020,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,SEP FY2011,1255,9,2011,1,2011-09-01
01-08-2021,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,AUG FY2012,1317,8,2012,1,2012-08-01
01-10-2021,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,OCT FY2012,2669,10,2012,1,2012-10-01
01-09-2021,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,SEP FY2012,1315,9,2012,1,2012-09-01
01-08-2022,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,AUG FY2022,2767,8,2022,1,2022-08-01
01-10-2022,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,OCT FY2022,5812,10,2022,1,2022-10-01
01-09-2022,QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,SEP FY2022,2922,9,2022,1,2022-09-01
01-12-2018,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,DEC FY2008,838,12,2008,2,2008-12-01
01-01-2018,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,JAN FY2008,783,1,2008,2,2008-01-01
01-11-2018,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,NOV FY2008,346,11,2008,2,2008-11-01
01-12-2019,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,DEC FY2007,2146,12,2007,2,2007-12-01
01-01-2019,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,JAN FY2007,1529,1,2007,2,2007-01-01
01-11-2019,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,NOV FY2007,1061,11,2007,2,2007-11-01
01-12-2020,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,DEC FY2011,2327,12,2011,2,2011-12-01
01-01-2020,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,JAN FY2011,2246,1,2011,2,2011-01-01
01-11-2020,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,NOV FY2011,1564,11,2011,2,2011-11-01
01-12-2021,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,DEC FY2012,2138,12,2012,2,2012-12-01
01-01-2021,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,JAN FY2012,2324,1,2012,2,2012-01-01
01-11-2021,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,NOV FY2012,2710,11,2012,2,2012-11-01
01-12-2022,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,DEC FY2022,2914,12,2022,2,2022-12-01
01-01-2022,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,JAN FY2022,7141,1,2022,2,2022-01-01
01-11-2022,QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,NOV FY2022,4925,11,2022,2,2022-11-01
01-04-2018,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,APR FY2008,1208,4,2008,3,2008-04-01
01-02-2018,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,FEB FY2008,690,2,2008,3,2008-02-01
01-03-2018,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,MAR FY2008,588,3,2008,3,2008-03-01
01-04-2019,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,APR FY2007,2669,4,2007,3,2007-04-01
01-02-2019,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,FEB FY2007,1354,2,2007,3,2007-02-01
01-03-2019,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,MAR FY2007,1184,3,2007,3,2007-03-01
01-04-2020,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,APR FY2011,3354,4,2011,3,2011-04-01
01-02-2020,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,FEB FY2011,1810,2,2011,3,2011-02-01
01-03-2020,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,MAR FY2011,2251,3,2011,3,2011-03-01
01-04-2021,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,APR FY2012,3913,4,2012,3,2012-04-01
01-02-2021,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,FEB FY2012,1720,2,2012,3,2012-02-01
01-03-2021,QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,MAR FY2012,1949,3,2012,3,2012-03-01
01-07-2017,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2002,JUL FY2002,62,7,2002,4,2002-07-01
01-07-2018,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUL FY2008,2479,7,2008,4,2008-07-01
01-06-2018,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUN FY2008,1406,6,2008,4,2008-06-01
01-05-2018,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,MAY FY2008,450,5,2008,4,2008-05-01
01-07-2019,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUL FY2007,3512,7,2007,4,2007-07-01
01-06-2019,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUN FY2007,1555,6,2007,4,2007-06-01
01-05-2019,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,MAY FY2007,1102,5,2007,4,2007-05-01
01-07-2020,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUL FY2011,2572,7,2011,4,2011-07-01
01-06-2020,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUN FY2011,2065,6,2011,4,2011-06-01
01-05-2020,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,MAY FY2011,1550,5,2011,4,2011-05-01
01-07-2021,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,JUL FY2012,6508,7,2012,4,2012-07-01
01-06-2021,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,JUN FY2012,2274,6,2012,4,2012-06-01
01-05-2021,QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,MAY FY2012,2182,5,2012,4,2012-05-01
