Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2020,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2011,OCT FY2011,14,10,2011,1,2011-10-01
01-08-2021,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,AUG FY2012,1,8,2012,1,2012-08-01
01-10-2021,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,OCT FY2012,73,10,2012,1,2012-10-01
01-09-2021,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,SEP FY2012,29,9,2012,1,2012-09-01
01-08-2022,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,AUG FY2022,171,8,2022,1,2022-08-01
01-10-2022,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,OCT FY2022,545,10,2022,1,2022-10-01
01-09-2022,QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,SEP FY2022,171,9,2022,1,2022-09-01
01-12-2020,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,DEC FY2011,12,12,2011,2,2011-12-01
01-01-2020,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,JAN FY2011,4,1,2011,2,2011-01-01
01-11-2020,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,NOV FY2011,4,11,2011,2,2011-11-01
01-12-2021,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,DEC FY2012,56,12,2012,2,2012-12-01
01-01-2021,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,JAN FY2012,272,1,2012,2,2012-01-01
01-11-2021,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,NOV FY2012,90,11,2012,2,2012-11-01
01-12-2022,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,DEC FY2022,730,12,2022,2,2022-12-01
01-01-2022,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,JAN FY2022,320,1,2022,2,2022-01-01
01-11-2022,QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,NOV FY2022,213,11,2022,2,2022-11-01
01-04-2020,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,APR FY2011,14,4,2011,3,2011-04-01
01-02-2020,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,FEB FY2011,11,2,2011,3,2011-02-01
01-03-2020,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,MAR FY2011,18,3,2011,3,2011-03-01
01-04-2021,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,APR FY2012,277,4,2012,3,2012-04-01
01-02-2021,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,FEB FY2012,175,2,2012,3,2012-02-01
01-03-2021,QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,MAR FY2012,316,3,2012,3,2012-03-01
01-07-2020,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUL FY2011,289,7,2011,4,2011-07-01
01-06-2020,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUN FY2011,2,6,2011,4,2011-06-01
01-05-2020,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,MAY FY2011,14,5,2011,4,2011-05-01
01-07-2021,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUL FY2012,907,7,2012,4,2012-07-01
01-06-2021,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUN FY2012,267,6,2012,4,2012-06-01
01-05-2021,QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,MAY FY2012,112,5,2012,4,2012-05-01
