Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2008,AUG FY2008,0,8,2008,1,2008-08-01
01-09-2018,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2008,SEP FY2008,1,9,2008,1,2008-09-01
01-08-2019,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2007,AUG FY2007,58,8,2007,1,2007-08-01
01-10-2019,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2007,OCT FY2007,593,10,2007,1,2007-10-01
01-09-2019,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2007,SEP FY2007,167,9,2007,1,2007-09-01
01-08-2020,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2011,AUG FY2011,216,8,2011,1,2011-08-01
01-10-2020,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2011,OCT FY2011,769,10,2011,1,2011-10-01
01-09-2020,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2011,SEP FY2011,420,9,2011,1,2011-09-01
01-08-2021,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2012,AUG FY2012,245,8,2012,1,2012-08-01
01-10-2021,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2012,OCT FY2012,515,10,2012,1,2012-10-01
01-09-2021,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2012,SEP FY2012,296,9,2012,1,2012-09-01
01-08-2022,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2022,AUG FY2022,590,8,2022,1,2022-08-01
01-10-2022,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2022,OCT FY2022,1094,10,2022,1,2022-10-01
01-09-2022,QKBU,N9500,N9K-C9508-FM-E2,Q1 FY2022,SEP FY2022,451,9,2022,1,2022-09-01
01-11-2018,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2008,NOV FY2008,0,11,2008,2,2008-11-01
01-12-2019,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2007,DEC FY2007,513,12,2007,2,2007-12-01
01-01-2019,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2007,JAN FY2007,497,1,2007,2,2007-01-01
01-11-2019,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2007,NOV FY2007,329,11,2007,2,2007-11-01
01-12-2020,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2011,DEC FY2011,506,12,2011,2,2011-12-01
01-01-2020,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2011,JAN FY2011,459,1,2011,2,2011-01-01
01-11-2020,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2011,NOV FY2011,253,11,2011,2,2011-11-01
01-12-2021,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2012,DEC FY2012,459,12,2012,2,2012-12-01
01-01-2021,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2012,JAN FY2012,761,1,2012,2,2012-01-01
01-11-2021,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2012,NOV FY2012,398,11,2012,2,2012-11-01
01-12-2022,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2022,DEC FY2022,1168,12,2022,2,2022-12-01
01-01-2022,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2022,JAN FY2022,478,1,2022,2,2022-01-01
01-11-2022,QKBU,N9500,N9K-C9508-FM-E2,Q2 FY2022,NOV FY2022,510,11,2022,2,2022-11-01
