Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2014,QKBU,N9500,N9K-C9508,Q1 FY2014,OCT FY2014,2,10,2014,1,2014-10-01
01-09-2014,QKBU,N9500,N9K-C9508,Q1 FY2014,SEP FY2014,3,9,2014,1,2014-09-01
01-08-2015,QKBU,N9500,N9K-C9508,Q1 FY2015,AUG FY2015,44,8,2015,1,2015-08-01
01-10-2015,QKBU,N9500,N9K-C9508,Q1 FY2015,OCT FY2015,158,10,2015,1,2015-10-01
01-09-2015,QKBU,N9500,N9K-C9508,Q1 FY2015,SEP FY2015,51,9,2015,1,2015-09-01
01-08-2016,QKBU,N9500,N9K-C9508,Q1 FY2022,AUG FY2022,124,8,2022,1,2022-08-01
01-10-2016,QKBU,N9500,N9K-C9508,Q1 FY2022,OCT FY2022,177,10,2022,1,2022-10-01
01-09-2016,QKBU,N9500,N9K-C9508,Q1 FY2022,SEP FY2022,92,9,2022,1,2022-09-01
01-08-2017,QKBU,N9500,N9K-C9508,Q1 FY2002,AUG FY2002,37,8,2002,1,2002-08-01
01-10-2017,QKBU,N9500,N9K-C9508,Q1 FY2002,OCT FY2002,214,10,2002,1,2002-10-01
01-09-2017,QKBU,N9500,N9K-C9508,Q1 FY2002,SEP FY2002,104,9,2002,1,2002-09-01
01-08-2018,QKBU,N9500,N9K-C9508,Q1 FY2008,AUG FY2008,118,8,2008,1,2008-08-01
01-10-2018,QKBU,N9500,N9K-C9508,Q1 FY2008,OCT FY2008,383,10,2008,1,2008-10-01
01-09-2018,QKBU,N9500,N9K-C9508,Q1 FY2008,SEP FY2008,155,9,2008,1,2008-09-01
01-08-2019,QKBU,N9500,N9K-C9508,Q1 FY2007,AUG FY2007,201,8,2007,1,2007-08-01
01-10-2019,QKBU,N9500,N9K-C9508,Q1 FY2007,OCT FY2007,416,10,2007,1,2007-10-01
01-09-2019,QKBU,N9500,N9K-C9508,Q1 FY2007,SEP FY2007,203,9,2007,1,2007-09-01
01-08-2020,QKBU,N9500,N9K-C9508,Q1 FY2011,AUG FY2011,79,8,2011,1,2011-08-01
01-10-2020,QKBU,N9500,N9K-C9508,Q1 FY2011,OCT FY2011,246,10,2011,1,2011-10-01
01-09-2020,QKBU,N9500,N9K-C9508,Q1 FY2011,SEP FY2011,159,9,2011,1,2011-09-01
01-08-2021,QKBU,N9500,N9K-C9508,Q1 FY2012,AUG FY2012,69,8,2012,1,2012-08-01
01-10-2021,QKBU,N9500,N9K-C9508,Q1 FY2012,OCT FY2012,208,10,2012,1,2012-10-01
01-09-2021,QKBU,N9500,N9K-C9508,Q1 FY2012,SEP FY2012,105,9,2012,1,2012-09-01
01-08-2022,QKBU,N9500,N9K-C9508,Q1 FY2022,AUG FY2022,136,8,2022,1,2022-08-01
01-10-2022,QKBU,N9500,N9K-C9508,Q1 FY2022,OCT FY2022,295,10,2022,1,2022-10-01
01-09-2022,QKBU,N9500,N9K-C9508,Q1 FY2022,SEP FY2022,105,9,2022,1,2022-09-01
01-12-2014,QKBU,N9500,N9K-C9508,Q2 FY2014,DEC FY2014,69,12,2014,2,2014-12-01
01-01-2014,QKBU,N9500,N9K-C9508,Q2 FY2014,JAN FY2014,91,1,2014,2,2014-01-01
01-11-2014,QKBU,N9500,N9K-C9508,Q2 FY2014,NOV FY2014,1,11,2014,2,2014-11-01
01-12-2015,QKBU,N9500,N9K-C9508,Q2 FY2015,DEC FY2015,133,12,2015,2,2015-12-01
01-01-2015,QKBU,N9500,N9K-C9508,Q2 FY2015,JAN FY2015,137,1,2015,2,2015-01-01
01-11-2015,QKBU,N9500,N9K-C9508,Q2 FY2015,NOV FY2015,84,11,2015,2,2015-11-01
01-12-2016,QKBU,N9500,N9K-C9508,Q2 FY2022,DEC FY2022,121,12,2022,2,2022-12-01
01-01-2016,QKBU,N9500,N9K-C9508,Q2 FY2022,JAN FY2022,183,1,2022,2,2022-01-01
01-11-2016,QKBU,N9500,N9K-C9508,Q2 FY2022,NOV FY2022,114,11,2022,2,2022-11-01
01-12-2017,QKBU,N9500,N9K-C9508,Q2 FY2002,DEC FY2002,261,12,2002,2,2002-12-01
01-01-2017,QKBU,N9500,N9K-C9508,Q2 FY2002,JAN FY2002,239,1,2002,2,2002-01-01
01-11-2017,QKBU,N9500,N9K-C9508,Q2 FY2002,NOV FY2002,161,11,2002,2,2002-11-01
01-12-2018,QKBU,N9500,N9K-C9508,Q2 FY2008,DEC FY2008,311,12,2008,2,2008-12-01
01-01-2018,QKBU,N9500,N9K-C9508,Q2 FY2008,JAN FY2008,338,1,2008,2,2008-01-01
01-11-2018,QKBU,N9500,N9K-C9508,Q2 FY2008,NOV FY2008,180,11,2008,2,2008-11-01
01-12-2019,QKBU,N9500,N9K-C9508,Q2 FY2007,DEC FY2007,244,12,2007,2,2007-12-01
01-01-2019,QKBU,N9500,N9K-C9508,Q2 FY2007,JAN FY2007,197,1,2007,2,2007-01-01
01-11-2019,QKBU,N9500,N9K-C9508,Q2 FY2007,NOV FY2007,234,11,2007,2,2007-11-01
01-12-2020,QKBU,N9500,N9K-C9508,Q2 FY2011,DEC FY2011,160,12,2011,2,2011-12-01
01-01-2020,QKBU,N9500,N9K-C9508,Q2 FY2011,JAN FY2011,196,1,2011,2,2011-01-01
01-11-2020,QKBU,N9500,N9K-C9508,Q2 FY2011,NOV FY2011,100,11,2011,2,2011-11-01
01-12-2021,QKBU,N9500,N9K-C9508,Q2 FY2012,DEC FY2012,120,12,2012,2,2012-12-01
01-01-2021,QKBU,N9500,N9K-C9508,Q2 FY2012,JAN FY2012,207,1,2012,2,2012-01-01
01-11-2021,QKBU,N9500,N9K-C9508,Q2 FY2012,NOV FY2012,108,11,2012,2,2012-11-01
01-12-2022,QKBU,N9500,N9K-C9508,Q2 FY2022,DEC FY2022,514,12,2022,2,2022-12-01
01-01-2022,QKBU,N9500,N9K-C9508,Q2 FY2022,JAN FY2022,183,1,2022,2,2022-01-01
01-11-2022,QKBU,N9500,N9K-C9508,Q2 FY2022,NOV FY2022,168,11,2022,2,2022-11-01
01-04-2014,QKBU,N9500,N9K-C9508,Q3 FY2014,APR FY2014,112,4,2014,3,2014-04-01
01-02-2014,QKBU,N9500,N9K-C9508,Q3 FY2014,FEB FY2014,29,2,2014,3,2014-02-01
01-03-2014,QKBU,N9500,N9K-C9508,Q3 FY2014,MAR FY2014,32,3,2014,3,2014-03-01
01-04-2015,QKBU,N9500,N9K-C9508,Q3 FY2015,APR FY2015,241,4,2015,3,2015-04-01
01-02-2015,QKBU,N9500,N9K-C9508,Q3 FY2015,FEB FY2015,143,2,2015,3,2015-02-01
01-03-2015,QKBU,N9500,N9K-C9508,Q3 FY2015,MAR FY2015,94,3,2015,3,2015-03-01
01-04-2016,QKBU,N9500,N9K-C9508,Q3 FY2022,APR FY2022,270,4,2022,3,2022-04-01
01-02-2016,QKBU,N9500,N9K-C9508,Q3 FY2022,FEB FY2022,120,2,2022,3,2022-02-01
01-03-2016,QKBU,N9500,N9K-C9508,Q3 FY2022,MAR FY2022,184,3,2022,3,2022-03-01
01-04-2017,QKBU,N9500,N9K-C9508,Q3 FY2002,APR FY2002,385,4,2002,3,2002-04-01
01-02-2017,QKBU,N9500,N9K-C9508,Q3 FY2002,FEB FY2002,106,2,2002,3,2002-02-01
01-03-2017,QKBU,N9500,N9K-C9508,Q3 FY2002,MAR FY2002,345,3,2002,3,2002-03-01
01-04-2018,QKBU,N9500,N9K-C9508,Q3 FY2008,APR FY2008,364,4,2008,3,2008-04-01
01-02-2018,QKBU,N9500,N9K-C9508,Q3 FY2008,FEB FY2008,130,2,2008,3,2008-02-01
01-03-2018,QKBU,N9500,N9K-C9508,Q3 FY2008,MAR FY2008,289,3,2008,3,2008-03-01
01-04-2019,QKBU,N9500,N9K-C9508,Q3 FY2007,APR FY2007,311,4,2007,3,2007-04-01
01-02-2019,QKBU,N9500,N9K-C9508,Q3 FY2007,FEB FY2007,119,2,2007,3,2007-02-01
01-03-2019,QKBU,N9500,N9K-C9508,Q3 FY2007,MAR FY2007,233,3,2007,3,2007-03-01
01-04-2020,QKBU,N9500,N9K-C9508,Q3 FY2011,APR FY2011,256,4,2011,3,2011-04-01
01-02-2020,QKBU,N9500,N9K-C9508,Q3 FY2011,FEB FY2011,81,2,2011,3,2011-02-01
01-03-2020,QKBU,N9500,N9K-C9508,Q3 FY2011,MAR FY2011,141,3,2011,3,2011-03-01
01-04-2021,QKBU,N9500,N9K-C9508,Q3 FY2012,APR FY2012,198,4,2012,3,2012-04-01
01-02-2021,QKBU,N9500,N9K-C9508,Q3 FY2012,FEB FY2012,122,2,2012,3,2012-02-01
01-03-2021,QKBU,N9500,N9K-C9508,Q3 FY2012,MAR FY2012,125,3,2012,3,2012-03-01
01-07-2014,QKBU,N9500,N9K-C9508,Q4 FY2014,JUL FY2014,265,7,2014,4,2014-07-01
01-06-2014,QKBU,N9500,N9K-C9508,Q4 FY2014,JUN FY2014,63,6,2014,4,2014-06-01
01-05-2014,QKBU,N9500,N9K-C9508,Q4 FY2014,MAY FY2014,24,5,2014,4,2014-05-01
01-07-2015,QKBU,N9500,N9K-C9508,Q4 FY2015,JUL FY2015,327,7,2015,4,2015-07-01
01-06-2015,QKBU,N9500,N9K-C9508,Q4 FY2015,JUN FY2015,188,6,2015,4,2015-06-01
01-05-2015,QKBU,N9500,N9K-C9508,Q4 FY2015,MAY FY2015,114,5,2015,4,2015-05-01
01-07-2016,QKBU,N9500,N9K-C9508,Q4 FY2022,JUL FY2022,382,7,2022,4,2022-07-01
01-06-2016,QKBU,N9500,N9K-C9508,Q4 FY2022,JUN FY2022,185,6,2022,4,2022-06-01
01-05-2016,QKBU,N9500,N9K-C9508,Q4 FY2022,MAY FY2022,77,5,2022,4,2022-05-01
01-07-2017,QKBU,N9500,N9K-C9508,Q4 FY2002,JUL FY2002,390,7,2002,4,2002-07-01
01-06-2017,QKBU,N9500,N9K-C9508,Q4 FY2002,JUN FY2002,243,6,2002,4,2002-06-01
01-05-2017,QKBU,N9500,N9K-C9508,Q4 FY2002,MAY FY2002,230,5,2002,4,2002-05-01
01-07-2018,QKBU,N9500,N9K-C9508,Q4 FY2008,JUL FY2008,483,7,2008,4,2008-07-01
01-06-2018,QKBU,N9500,N9K-C9508,Q4 FY2008,JUN FY2008,226,6,2008,4,2008-06-01
01-05-2018,QKBU,N9500,N9K-C9508,Q4 FY2008,MAY FY2008,264,5,2008,4,2008-05-01
01-07-2019,QKBU,N9500,N9K-C9508,Q4 FY2007,JUL FY2007,341,7,2007,4,2007-07-01
01-06-2019,QKBU,N9500,N9K-C9508,Q4 FY2007,JUN FY2007,270,6,2007,4,2007-06-01
01-05-2019,QKBU,N9500,N9K-C9508,Q4 FY2007,MAY FY2007,162,5,2007,4,2007-05-01
01-07-2020,QKBU,N9500,N9K-C9508,Q4 FY2011,JUL FY2011,263,7,2011,4,2011-07-01
01-06-2020,QKBU,N9500,N9K-C9508,Q4 FY2011,JUN FY2011,121,6,2011,4,2011-06-01
01-05-2020,QKBU,N9500,N9K-C9508,Q4 FY2011,MAY FY2011,132,5,2011,4,2011-05-01
01-07-2021,QKBU,N9500,N9K-C9508,Q4 FY2012,JUL FY2012,404,7,2012,4,2012-07-01
01-06-2021,QKBU,N9500,N9K-C9508,Q4 FY2012,JUN FY2012,217,6,2012,4,2012-06-01
01-05-2021,QKBU,N9500,N9K-C9508,Q4 FY2012,MAY FY2012,161,5,2012,4,2012-05-01
