Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,AUG FY2008,3,8,2008,1,2008-08-01
01-10-2018,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,OCT FY2008,103,10,2008,1,2008-10-01
01-09-2018,QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,SEP FY2008,2,9,2008,1,2008-09-01
01-08-2019,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,AUG FY2007,237,8,2007,1,2007-08-01
01-10-2019,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,OCT FY2007,845,10,2007,1,2007-10-01
01-09-2019,QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,SEP FY2007,258,9,2007,1,2007-09-01
01-08-2020,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,AUG FY2011,233,8,2011,1,2011-08-01
01-10-2020,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,OCT FY2011,703,10,2011,1,2011-10-01
01-09-2020,QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,SEP FY2011,487,9,2011,1,2011-09-01
01-08-2021,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,AUG FY2012,331,8,2012,1,2012-08-01
01-10-2021,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,OCT FY2012,959,10,2012,1,2012-10-01
01-09-2021,QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,SEP FY2012,487,9,2012,1,2012-09-01
01-08-2022,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,AUG FY2022,499,8,2022,1,2022-08-01
01-10-2022,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,OCT FY2022,1386,10,2022,1,2022-10-01
01-09-2022,QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,SEP FY2022,685,9,2022,1,2022-09-01
01-12-2018,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,DEC FY2008,109,12,2008,2,2008-12-01
01-01-2018,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,JAN FY2008,186,1,2008,2,2008-01-01
01-11-2018,QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,NOV FY2008,85,11,2008,2,2008-11-01
01-12-2019,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,DEC FY2007,827,12,2007,2,2007-12-01
01-01-2019,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,JAN FY2007,466,1,2007,2,2007-01-01
01-11-2019,QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,NOV FY2007,563,11,2007,2,2007-11-01
01-12-2020,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,DEC FY2011,558,12,2011,2,2011-12-01
01-01-2020,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,JAN FY2011,820,1,2011,2,2011-01-01
01-11-2020,QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,NOV FY2011,381,11,2011,2,2011-11-01
01-12-2021,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,DEC FY2012,629,12,2012,2,2012-12-01
01-01-2021,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,JAN FY2012,802,1,2012,2,2012-01-01
01-11-2021,QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,NOV FY2012,682,11,2012,2,2012-11-01
01-12-2022,QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,DEC FY2022,2035,12,2022,2,2022-12-01
01-01-2022,QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,JAN FY2022,1031,1,2022,2,2022-01-01
01-11-2022,QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,NOV FY2022,875,11,2022,2,2022-11-01
01-04-2018,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,APR FY2008,322,4,2008,3,2008-04-01
01-02-2018,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,FEB FY2008,212,2,2008,3,2008-02-01
01-03-2018,QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,MAR FY2008,419,3,2008,3,2008-03-01
01-04-2019,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,APR FY2007,913,4,2007,3,2007-04-01
01-02-2019,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,FEB FY2007,410,2,2007,3,2007-02-01
01-03-2019,QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,MAR FY2007,613,3,2007,3,2007-03-01
01-04-2020,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,APR FY2011,1130,4,2011,3,2011-04-01
01-02-2020,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,FEB FY2011,449,2,2011,3,2011-02-01
01-03-2020,QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,MAR FY2011,423,3,2011,3,2011-03-01
01-04-2021,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,APR FY2012,767,4,2012,3,2012-04-01
01-02-2021,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,FEB FY2012,739,2,2012,3,2012-02-01
01-03-2021,QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,MAR FY2012,764,3,2012,3,2012-03-01
01-07-2017,QKBU,N9500,N9K-X9736C-FX,Q4 FY2002,JUL FY2002,72,7,2002,4,2002-07-01
01-07-2018,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUL FY2008,723,7,2008,4,2008-07-01
01-06-2018,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUN FY2008,261,6,2008,4,2008-06-01
01-05-2018,QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,MAY FY2008,130,5,2008,4,2008-05-01
01-07-2019,QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUL FY2007,1060,7,2007,4,2007-07-01
