Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,AUG FY2008,1,8,2008,1,2008-08-01
01-10-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,OCT FY2008,3,10,2008,1,2008-10-01
01-08-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,AUG FY2007,14,8,2007,1,2007-08-01
01-10-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,OCT FY2007,133,10,2007,1,2007-10-01
01-09-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,SEP FY2007,21,9,2007,1,2007-09-01
01-08-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,AUG FY2011,7,8,2011,1,2011-08-01
01-10-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,OCT FY2011,465,10,2011,1,2011-10-01
01-09-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,SEP FY2011,100,9,2011,1,2011-09-01
01-08-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,AUG FY2012,12,8,2012,1,2012-08-01
01-10-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,OCT FY2012,134,10,2012,1,2012-10-01
01-09-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,SEP FY2012,22,9,2012,1,2012-09-01
01-08-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,AUG FY2022,15,8,2022,1,2022-08-01
01-10-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,OCT FY2022,132,10,2022,1,2022-10-01
01-09-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,SEP FY2022,85,9,2022,1,2022-09-01
01-12-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,DEC FY2008,19,12,2008,2,2008-12-01
01-01-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,JAN FY2008,9,1,2008,2,2008-01-01
01-11-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,NOV FY2008,2,11,2008,2,2008-11-01
01-12-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,DEC FY2007,218,12,2007,2,2007-12-01
01-01-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,JAN FY2007,151,1,2007,2,2007-01-01
01-11-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,NOV FY2007,22,11,2007,2,2007-11-01
01-12-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,DEC FY2011,135,12,2011,2,2011-12-01
01-01-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,JAN FY2011,292,1,2011,2,2011-01-01
01-11-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,NOV FY2011,5,11,2011,2,2011-11-01
01-12-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,DEC FY2012,27,12,2012,2,2012-12-01
01-01-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,JAN FY2012,141,1,2012,2,2012-01-01
01-11-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,NOV FY2012,16,11,2012,2,2012-11-01
01-12-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,DEC FY2022,13,12,2022,2,2022-12-01
01-01-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,JAN FY2022,65,1,2022,2,2022-01-01
01-11-2022,CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,NOV FY2022,27,11,2022,2,2022-11-01
01-04-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,APR FY2008,47,4,2008,3,2008-04-01
01-02-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,FEB FY2008,31,2,2008,3,2008-02-01
01-03-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,MAR FY2008,28,3,2008,3,2008-03-01
01-04-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,APR FY2007,156,4,2007,3,2007-04-01
01-02-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,FEB FY2007,44,2,2007,3,2007-02-01
01-03-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,MAR FY2007,65,3,2007,3,2007-03-01
01-04-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,APR FY2011,264,4,2011,3,2011-04-01
01-02-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,FEB FY2011,4,2,2011,3,2011-02-01
01-03-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,MAR FY2011,359,3,2011,3,2011-03-01
01-04-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,APR FY2012,208,4,2012,3,2012-04-01
01-02-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,FEB FY2012,3,2,2012,3,2012-02-01
01-03-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,MAR FY2012,100,3,2012,3,2012-03-01
01-07-2017,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2002,JUL FY2002,3,7,2002,4,2002-07-01
01-07-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUL FY2008,67,7,2008,4,2008-07-01
01-06-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUN FY2008,126,6,2008,4,2008-06-01
01-05-2018,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,MAY FY2008,22,5,2008,4,2008-05-01
01-07-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUL FY2007,59,7,2007,4,2007-07-01
01-06-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUN FY2007,196,6,2007,4,2007-06-01
01-05-2019,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,MAY FY2007,38,5,2007,4,2007-05-01
01-07-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,JUL FY2011,227,7,2011,4,2011-07-01
01-06-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,JUN FY2011,10,6,2011,4,2011-06-01
01-05-2020,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,MAY FY2011,28,5,2011,4,2011-05-01
01-07-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUL FY2012,25,7,2012,4,2012-07-01
01-06-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUN FY2012,15,6,2012,4,2012-06-01
01-05-2021,CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,MAY FY2012,77,5,2012,4,2012-05-01
