Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,AUG FY2002,14,8,2002,1,2002-08-01
01-10-2017,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,OCT FY2002,60,10,2002,1,2002-10-01
01-09-2017,CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,SEP FY2002,75,9,2002,1,2002-09-01
01-08-2018,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,AUG FY2008,140,8,2008,1,2008-08-01
01-10-2018,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,OCT FY2008,94,10,2008,1,2008-10-01
01-09-2018,CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,SEP FY2008,86,9,2008,1,2008-09-01
01-08-2019,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,AUG FY2007,205,8,2007,1,2007-08-01
01-10-2019,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,OCT FY2007,438,10,2007,1,2007-10-01
01-09-2019,CRBU,NCS5500,NCS-5501-SE,Q1 FY2007,SEP FY2007,759,9,2007,1,2007-09-01
01-08-2020,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,AUG FY2011,513,8,2011,1,2011-08-01
01-10-2020,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,OCT FY2011,1226,10,2011,1,2011-10-01
01-09-2020,CRBU,NCS5500,NCS-5501-SE,Q1 FY2011,SEP FY2011,112,9,2011,1,2011-09-01
01-08-2021,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,AUG FY2012,668,8,2012,1,2012-08-01
01-10-2021,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,OCT FY2012,829,10,2012,1,2012-10-01
01-09-2021,CRBU,NCS5500,NCS-5501-SE,Q1 FY2012,SEP FY2012,447,9,2012,1,2012-09-01
01-08-2022,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,AUG FY2022,81,8,2022,1,2022-08-01
01-10-2022,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,OCT FY2022,87,10,2022,1,2022-10-01
01-09-2022,CRBU,NCS5500,NCS-5501-SE,Q1 FY2022,SEP FY2022,639,9,2022,1,2022-09-01
01-12-2017,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,DEC FY2002,14,12,2002,2,2002-12-01
01-01-2017,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,JAN FY2002,191,1,2002,2,2002-01-01
01-11-2017,CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,NOV FY2002,73,11,2002,2,2002-11-01
01-12-2018,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,DEC FY2008,124,12,2008,2,2008-12-01
01-01-2018,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,JAN FY2008,200,1,2008,2,2008-01-01
01-11-2018,CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,NOV FY2008,26,11,2008,2,2008-11-01
01-12-2019,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,DEC FY2007,1272,12,2007,2,2007-12-01
01-01-2019,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,JAN FY2007,506,1,2007,2,2007-01-01
01-11-2019,CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,NOV FY2007,55,11,2007,2,2007-11-01
01-12-2020,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,DEC FY2011,331,12,2011,2,2011-12-01
01-01-2020,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,JAN FY2011,1470,1,2011,2,2011-01-01
01-11-2020,CRBU,NCS5500,NCS-5501-SE,Q2 FY2011,NOV FY2011,225,11,2011,2,2011-11-01
01-12-2021,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,DEC FY2012,1637,12,2012,2,2012-12-01
01-01-2021,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,JAN FY2012,11,1,2012,2,2012-01-01
01-11-2021,CRBU,NCS5500,NCS-5501-SE,Q2 FY2012,NOV FY2012,290,11,2012,2,2012-11-01
01-12-2022,CRBU,NCS5500,NCS-5501-SE,Q2 FY2022,DEC FY2022,60,12,2022,2,2022-12-01
01-01-2022,CRBU,NCS5500,NCS-5501-SE,Q2 FY2022,JAN FY2022,51,1,2022,2,2022-01-01
01-11-2022,CRBU,NCS5500,NCS-5501-SE,Q2 FY2022,NOV FY2022,505,11,2022,2,2022-11-01
01-04-2017,CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,APR FY2002,29,4,2002,3,2002-04-01
01-02-2017,CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,FEB FY2002,169,2,2002,3,2002-02-01
