Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,AUG FY2012,2,8,2012,1,2012-08-01
01-10-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,OCT FY2012,13,10,2012,1,2012-10-01
01-09-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,SEP FY2012,1,9,2012,1,2012-09-01
01-08-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,AUG FY2022,0,8,2022,1,2022-08-01
01-10-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,OCT FY2022,260,10,2022,1,2022-10-01
01-09-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,SEP FY2022,84,9,2022,1,2022-09-01
01-12-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,DEC FY2012,8,12,2012,2,2012-12-01
01-01-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,JAN FY2012,0,1,2012,2,2012-01-01
01-11-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,NOV FY2012,0,11,2012,2,2012-11-01
01-12-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,DEC FY2022,64,12,2022,2,2022-12-01
01-01-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,JAN FY2022,0,1,2022,2,2022-01-01
01-11-2022,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,NOV FY2022,252,11,2022,2,2022-11-01
01-04-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q3 FY2012,APR FY2012,10,4,2012,3,2012-04-01
01-03-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q3 FY2012,MAR FY2012,0,3,2012,3,2012-03-01
01-07-2020,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2011,JUL FY2011,1,7,2011,4,2011-07-01
01-06-2020,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2011,JUN FY2011,2,6,2011,4,2011-06-01
01-07-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUL FY2012,3,7,2012,4,2012-07-01
01-06-2021,CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUN FY2012,40,6,2012,4,2012-06-01
