Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,AUG FY2007,2,8,2007,1,2007-08-01
01-10-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,OCT FY2007,2,10,2007,1,2007-10-01
01-09-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,SEP FY2007,2,9,2007,1,2007-09-01
01-08-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,AUG FY2011,0,8,2011,1,2011-08-01
01-10-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,OCT FY2011,11,10,2011,1,2011-10-01
01-09-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,SEP FY2011,20,9,2011,1,2011-09-01
01-08-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,AUG FY2012,26,8,2012,1,2012-08-01
01-10-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,OCT FY2012,282,10,2012,1,2012-10-01
01-09-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,SEP FY2012,40,9,2012,1,2012-09-01
01-08-2022,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,AUG FY2022,52,8,2022,1,2022-08-01
01-10-2022,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,OCT FY2022,26,10,2022,1,2022-10-01
01-09-2022,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,SEP FY2022,78,9,2022,1,2022-09-01
01-12-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,DEC FY2007,23,12,2007,2,2007-12-01
01-01-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,JAN FY2007,19,1,2007,2,2007-01-01
01-11-2019,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,NOV FY2007,6,11,2007,2,2007-11-01
01-12-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,DEC FY2011,22,12,2011,2,2011-12-01
01-01-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,JAN FY2011,42,1,2011,2,2011-01-01
01-11-2020,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,NOV FY2011,5,11,2011,2,2011-11-01
01-12-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,DEC FY2012,65,12,2012,2,2012-12-01
01-01-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,JAN FY2012,1,1,2012,2,2012-01-01
01-11-2021,CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,NOV FY2012,134,11,2012,2,2012-11-01
