Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,AUG FY2022,12,8,2022,1,2022-08-01
01-10-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,OCT FY2022,31,10,2022,1,2022-10-01
01-09-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,SEP FY2022,16,9,2022,1,2022-09-01
01-08-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,AUG FY2002,15,8,2002,1,2002-08-01
01-10-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,OCT FY2002,120,10,2002,1,2002-10-01
01-09-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,SEP FY2002,88,9,2002,1,2002-09-01
01-08-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2008,AUG FY2008,145,8,2008,1,2008-08-01
01-10-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2008,OCT FY2008,26,10,2008,1,2008-10-01
01-09-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2008,SEP FY2008,188,9,2008,1,2008-09-01
01-08-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2007,AUG FY2007,6,8,2007,1,2007-08-01
01-10-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2007,OCT FY2007,64,10,2007,1,2007-10-01
01-09-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2007,SEP FY2007,65,9,2007,1,2007-09-01
01-08-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2011,AUG FY2011,7,8,2011,1,2011-08-01
01-10-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2011,OCT FY2011,309,10,2011,1,2011-10-01
01-09-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2011,SEP FY2011,14,9,2011,1,2011-09-01
01-08-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2012,AUG FY2012,8,8,2012,1,2012-08-01
01-10-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2012,OCT FY2012,93,10,2012,1,2012-10-01
01-09-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2012,SEP FY2012,59,9,2012,1,2012-09-01
01-08-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,AUG FY2022,165,8,2022,1,2022-08-01
01-10-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,OCT FY2022,74,10,2022,1,2022-10-01
01-09-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,SEP FY2022,201,9,2022,1,2022-09-01
01-12-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,DEC FY2022,11,12,2022,2,2022-12-01
01-01-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,JAN FY2022,34,1,2022,2,2022-01-01
01-11-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,NOV FY2022,20,11,2022,2,2022-11-01
01-12-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,DEC FY2002,99,12,2002,2,2002-12-01
01-01-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,JAN FY2002,90,1,2002,2,2002-01-01
01-11-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,NOV FY2002,120,11,2002,2,2002-11-01
01-12-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2008,DEC FY2008,167,12,2008,2,2008-12-01
01-01-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2008,JAN FY2008,116,1,2008,2,2008-01-01
01-11-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2008,NOV FY2008,33,11,2008,2,2008-11-01
01-12-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2007,DEC FY2007,60,12,2007,2,2007-12-01
01-01-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2007,JAN FY2007,297,1,2007,2,2007-01-01
01-11-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2007,NOV FY2007,9,11,2007,2,2007-11-01
01-12-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2011,DEC FY2011,11,12,2011,2,2011-12-01
01-01-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2011,JAN FY2011,116,1,2011,2,2011-01-01
01-11-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2011,NOV FY2011,179,11,2011,2,2011-11-01
01-12-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2012,DEC FY2012,70,12,2012,2,2012-12-01
01-01-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2012,JAN FY2012,10,1,2012,2,2012-01-01
01-11-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2012,NOV FY2012,346,11,2012,2,2012-11-01
01-12-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,DEC FY2022,715,12,2022,2,2022-12-01
01-01-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,JAN FY2022,37,1,2022,2,2022-01-01
01-11-2022,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,NOV FY2022,0,11,2022,2,2022-11-01
01-04-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,APR FY2022,145,4,2022,3,2022-04-01
01-02-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,FEB FY2022,8,2,2022,3,2022-02-01
01-03-2016,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,MAR FY2022,148,3,2022,3,2022-03-01
01-04-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,APR FY2002,97,4,2002,3,2002-04-01
01-02-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,FEB FY2002,13,2,2002,3,2002-02-01
01-03-2017,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,MAR FY2002,78,3,2002,3,2002-03-01
01-04-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,APR FY2008,497,4,2008,3,2008-04-01
01-02-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,FEB FY2008,171,2,2008,3,2008-02-01
01-03-2018,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,MAR FY2008,120,3,2008,3,2008-03-01
01-04-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2007,APR FY2007,96,4,2007,3,2007-04-01
01-02-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2007,FEB FY2007,136,2,2007,3,2007-02-01
01-03-2019,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2007,MAR FY2007,523,3,2007,3,2007-03-01
01-04-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2011,APR FY2011,306,4,2011,3,2011-04-01
01-02-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2011,FEB FY2011,144,2,2011,3,2011-02-01
01-03-2020,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2011,MAR FY2011,152,3,2011,3,2011-03-01
01-04-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2012,APR FY2012,132,4,2012,3,2012-04-01
01-02-2021,OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2012,FEB FY2012,61,2,2012,3,2012-02-01
