Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,BATBU,NCS4200,NCS4202-SA,Q1 FY2002,AUG FY2002,2,8,2002,1,2002-08-01
01-09-2017,BATBU,NCS4200,NCS4202-SA,Q1 FY2002,SEP FY2002,1,9,2002,1,2002-09-01
01-09-2018,BATBU,NCS4200,NCS4202-SA,Q1 FY2008,SEP FY2008,0,9,2008,1,2008-09-01
01-08-2019,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,AUG FY2007,2,8,2007,1,2007-08-01
01-10-2019,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,OCT FY2007,27,10,2007,1,2007-10-01
01-09-2019,BATBU,NCS4200,NCS4202-SA,Q1 FY2007,SEP FY2007,815,9,2007,1,2007-09-01
01-08-2020,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,AUG FY2011,7,8,2011,1,2011-08-01
01-10-2020,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,OCT FY2011,5,10,2011,1,2011-10-01
01-09-2020,BATBU,NCS4200,NCS4202-SA,Q1 FY2011,SEP FY2011,3,9,2011,1,2011-09-01
01-08-2021,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,AUG FY2012,5,8,2012,1,2012-08-01
01-10-2021,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,OCT FY2012,5,10,2012,1,2012-10-01
01-09-2021,BATBU,NCS4200,NCS4202-SA,Q1 FY2012,SEP FY2012,5,9,2012,1,2012-09-01
01-08-2022,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,AUG FY2022,2088,8,2022,1,2022-08-01
01-10-2022,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,OCT FY2022,34,10,2022,1,2022-10-01
01-09-2022,BATBU,NCS4200,NCS4202-SA,Q1 FY2022,SEP FY2022,3066,9,2022,1,2022-09-01
01-12-2017,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,DEC FY2002,6,12,2002,2,2002-12-01
01-01-2017,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,JAN FY2002,0,1,2002,2,2002-01-01
01-11-2017,BATBU,NCS4200,NCS4202-SA,Q2 FY2002,NOV FY2002,5,11,2002,2,2002-11-01
01-12-2018,BATBU,NCS4200,NCS4202-SA,Q2 FY2008,DEC FY2008,4,12,2008,2,2008-12-01
