Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2007,OCT FY2007,0,10,2007,1,2007-10-01
01-08-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,AUG FY2011,0,8,2011,1,2011-08-01
01-10-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,OCT FY2011,0,10,2011,1,2011-10-01
01-09-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,SEP FY2011,0,9,2011,1,2011-09-01
01-08-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,AUG FY2012,40,8,2012,1,2012-08-01
01-10-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,OCT FY2012,171,10,2012,1,2012-10-01
01-09-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,SEP FY2012,0,9,2012,1,2012-09-01
01-08-2022,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,AUG FY2022,4,8,2022,1,2022-08-01
01-10-2022,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,OCT FY2022,6,10,2022,1,2022-10-01
01-09-2022,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,SEP FY2022,2,9,2022,1,2022-09-01
01-12-2018,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,DEC FY2008,1,12,2008,2,2008-12-01
01-11-2018,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,NOV FY2008,1,11,2008,2,2008-11-01
01-12-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,DEC FY2011,0,12,2011,2,2011-12-01
01-11-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,NOV FY2011,0,11,2011,2,2011-11-01
01-12-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,DEC FY2012,0,12,2012,2,2012-12-01
01-11-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,NOV FY2012,373,11,2012,2,2012-11-01
01-12-2022,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2022,DEC FY2022,0,12,2022,2,2022-12-01
01-01-2022,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2022,JAN FY2022,0,1,2022,2,2022-01-01
01-04-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,APR FY2007,40,4,2007,3,2007-04-01
01-02-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,FEB FY2007,5,2,2007,3,2007-02-01
01-03-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,MAR FY2007,0,3,2007,3,2007-03-01
01-04-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,APR FY2011,6,4,2011,3,2011-04-01
01-02-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,FEB FY2011,15,2,2011,3,2011-02-01
01-04-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,APR FY2012,0,4,2012,3,2012-04-01
01-02-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,FEB FY2012,0,2,2012,3,2012-02-01
01-07-2018,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUL FY2008,36,7,2008,4,2008-07-01
01-06-2018,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUN FY2008,0,6,2008,4,2008-06-01
01-07-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUL FY2007,20,7,2007,4,2007-07-01
01-06-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUN FY2007,1,6,2007,4,2007-06-01
01-05-2019,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,MAY FY2007,191,5,2007,4,2007-05-01
01-07-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUL FY2011,58,7,2011,4,2011-07-01
01-06-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUN FY2011,0,6,2011,4,2011-06-01
01-05-2020,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,MAY FY2011,0,5,2011,4,2011-05-01
01-07-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,JUL FY2012,0,7,2012,4,2012-07-01
01-05-2021,OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,MAY FY2012,38,5,2012,4,2012-05-01
