Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,SRSBU,WANLAN,NIM-24A,Q1 FY2002,AUG FY2002,0,8,2002,1,2002-08-01
01-10-2017,SRSBU,WANLAN,NIM-24A,Q1 FY2002,OCT FY2002,77,10,2002,1,2002-10-01
01-09-2017,SRSBU,WANLAN,NIM-24A,Q1 FY2002,SEP FY2002,0,9,2002,1,2002-09-01
01-08-2018,SRSBU,WANLAN,NIM-24A,Q1 FY2008,AUG FY2008,77,8,2008,1,2008-08-01
01-10-2018,SRSBU,WANLAN,NIM-24A,Q1 FY2008,OCT FY2008,309,10,2008,1,2008-10-01
01-09-2018,SRSBU,WANLAN,NIM-24A,Q1 FY2008,SEP FY2008,222,9,2008,1,2008-09-01
01-08-2019,SRSBU,WANLAN,NIM-24A,Q1 FY2007,AUG FY2007,1425,8,2007,1,2007-08-01
01-10-2019,SRSBU,WANLAN,NIM-24A,Q1 FY2007,OCT FY2007,2923,10,2007,1,2007-10-01
01-09-2019,SRSBU,WANLAN,NIM-24A,Q1 FY2007,SEP FY2007,906,9,2007,1,2007-09-01
01-08-2020,SRSBU,WANLAN,NIM-24A,Q1 FY2011,AUG FY2011,2154,8,2011,1,2011-08-01
01-10-2020,SRSBU,WANLAN,NIM-24A,Q1 FY2011,OCT FY2011,10413,10,2011,1,2011-10-01
01-09-2020,SRSBU,WANLAN,NIM-24A,Q1 FY2011,SEP FY2011,3337,9,2011,1,2011-09-01
01-08-2021,SRSBU,WANLAN,NIM-24A,Q1 FY2012,AUG FY2012,4051,8,2012,1,2012-08-01
01-10-2021,SRSBU,WANLAN,NIM-24A,Q1 FY2012,OCT FY2012,2734,10,2012,1,2012-10-01
01-09-2021,SRSBU,WANLAN,NIM-24A,Q1 FY2012,SEP FY2012,1924,9,2012,1,2012-09-01
01-08-2022,SRSBU,WANLAN,NIM-24A,Q1 FY2022,AUG FY2022,5892,8,2022,1,2022-08-01
01-10-2022,SRSBU,WANLAN,NIM-24A,Q1 FY2022,OCT FY2022,5103,10,2022,1,2022-10-01
01-09-2022,SRSBU,WANLAN,NIM-24A,Q1 FY2022,SEP FY2022,1583,9,2022,1,2022-09-01
01-12-2017,SRSBU,WANLAN,NIM-24A,Q2 FY2002,DEC FY2002,44,12,2002,2,2002-12-01
01-01-2017,SRSBU,WANLAN,NIM-24A,Q2 FY2002,JAN FY2002,34,1,2002,2,2002-01-01
01-11-2017,SRSBU,WANLAN,NIM-24A,Q2 FY2002,NOV FY2002,60,11,2002,2,2002-11-01
01-12-2018,SRSBU,WANLAN,NIM-24A,Q2 FY2008,DEC FY2008,1409,12,2008,2,2008-12-01
01-01-2018,SRSBU,WANLAN,NIM-24A,Q2 FY2008,JAN FY2008,2091,1,2008,2,2008-01-01
01-11-2018,SRSBU,WANLAN,NIM-24A,Q2 FY2008,NOV FY2008,246,11,2008,2,2008-11-01
01-12-2019,SRSBU,WANLAN,NIM-24A,Q2 FY2007,DEC FY2007,2459,12,2007,2,2007-12-01
01-01-2019,SRSBU,WANLAN,NIM-24A,Q2 FY2007,JAN FY2007,3592,1,2007,2,2007-01-01
01-11-2019,SRSBU,WANLAN,NIM-24A,Q2 FY2007,NOV FY2007,1377,11,2007,2,2007-11-01
01-12-2020,SRSBU,WANLAN,NIM-24A,Q2 FY2011,DEC FY2011,10216,12,2011,2,2011-12-01
01-01-2020,SRSBU,WANLAN,NIM-24A,Q2 FY2011,JAN FY2011,2630,1,2011,2,2011-01-01
01-11-2020,SRSBU,WANLAN,NIM-24A,Q2 FY2011,NOV FY2011,2968,11,2011,2,2011-11-01
01-12-2021,SRSBU,WANLAN,NIM-24A,Q2 FY2012,DEC FY2012,888,12,2012,2,2012-12-01
01-01-2021,SRSBU,WANLAN,NIM-24A,Q2 FY2012,JAN FY2012,2131,1,2012,2,2012-01-01
01-11-2021,SRSBU,WANLAN,NIM-24A,Q2 FY2012,NOV FY2012,3966,11,2012,2,2012-11-01
01-12-2022,SRSBU,WANLAN,NIM-24A,Q2 FY2022,DEC FY2022,13574,12,2022,2,2022-12-01
01-01-2022,SRSBU,WANLAN,NIM-24A,Q2 FY2022,JAN FY2022,8895,1,2022,2,2022-01-01
01-11-2022,SRSBU,WANLAN,NIM-24A,Q2 FY2022,NOV FY2022,3658,11,2022,2,2022-11-01
01-04-2017,SRSBU,WANLAN,NIM-24A,Q3 FY2002,APR FY2002,342,4,2002,3,2002-04-01
01-02-2017,SRSBU,WANLAN,NIM-24A,Q3 FY2002,FEB FY2002,73,2,2002,3,2002-02-01
01-03-2017,SRSBU,WANLAN,NIM-24A,Q3 FY2002,MAR FY2002,86,3,2002,3,2002-03-01
01-04-2018,SRSBU,WANLAN,NIM-24A,Q3 FY2008,APR FY2008,4539,4,2008,3,2008-04-01
01-02-2018,SRSBU,WANLAN,NIM-24A,Q3 FY2008,FEB FY2008,2469,2,2008,3,2008-02-01
01-03-2018,SRSBU,WANLAN,NIM-24A,Q3 FY2008,MAR FY2008,5859,3,2008,3,2008-03-01
01-04-2019,SRSBU,WANLAN,NIM-24A,Q3 FY2007,APR FY2007,6360,4,2007,3,2007-04-01
01-02-2019,SRSBU,WANLAN,NIM-24A,Q3 FY2007,FEB FY2007,3564,2,2007,3,2007-02-01
01-03-2019,SRSBU,WANLAN,NIM-24A,Q3 FY2007,MAR FY2007,4016,3,2007,3,2007-03-01
01-04-2020,SRSBU,WANLAN,NIM-24A,Q3 FY2011,APR FY2011,7950,4,2011,3,2011-04-01
01-02-2020,SRSBU,WANLAN,NIM-24A,Q3 FY2011,FEB FY2011,4323,2,2011,3,2011-02-01
01-03-2020,SRSBU,WANLAN,NIM-24A,Q3 FY2011,MAR FY2011,3366,3,2011,3,2011-03-01
01-04-2021,SRSBU,WANLAN,NIM-24A,Q3 FY2012,APR FY2012,6099,4,2012,3,2012-04-01
01-02-2021,SRSBU,WANLAN,NIM-24A,Q3 FY2012,FEB FY2012,2631,2,2012,3,2012-02-01
01-03-2021,SRSBU,WANLAN,NIM-24A,Q3 FY2012,MAR FY2012,3595,3,2012,3,2012-03-01
01-07-2017,SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUL FY2002,286,7,2002,4,2002-07-01
01-06-2017,SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUN FY2002,410,6,2002,4,2002-06-01
01-05-2017,SRSBU,WANLAN,NIM-24A,Q4 FY2002,MAY FY2002,190,5,2002,4,2002-05-01
01-07-2018,SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUL FY2008,4046,7,2008,4,2008-07-01
01-06-2018,SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUN FY2008,3370,6,2008,4,2008-06-01
01-05-2018,SRSBU,WANLAN,NIM-24A,Q4 FY2008,MAY FY2008,1866,5,2008,4,2008-05-01
01-07-2019,SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUL FY2007,7789,7,2007,4,2007-07-01
01-06-2019,SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUN FY2007,7502,6,2007,4,2007-06-01
01-05-2019,SRSBU,WANLAN,NIM-24A,Q4 FY2007,MAY FY2007,5998,5,2007,4,2007-05-01
01-07-2020,SRSBU,WANLAN,NIM-24A,Q4 FY2011,JUL FY2011,167,7,2011,4,2011-07-01
01-06-2020,SRSBU,WANLAN,NIM-24A,Q4 FY2011,JUN FY2011,630,6,2011,4,2011-06-01
01-05-2020,SRSBU,WANLAN,NIM-24A,Q4 FY2011,MAY FY2011,1183,5,2011,4,2011-05-01
01-07-2021,SRSBU,WANLAN,NIM-24A,Q4 FY2012,JUL FY2012,2117,7,2012,4,2012-07-01
01-06-2021,SRSBU,WANLAN,NIM-24A,Q4 FY2012,JUN FY2012,1514,6,2012,4,2012-06-01
01-05-2021,SRSBU,WANLAN,NIM-24A,Q4 FY2012,MAY FY2012,4442,5,2012,4,2012-05-01
