Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,AUG FY2022,4,8,2022,1,2022-08-01
01-10-2016,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,OCT FY2022,6,10,2022,1,2022-10-01
01-09-2016,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,SEP FY2022,0,9,2022,1,2022-09-01
01-08-2017,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,AUG FY2002,51,8,2002,1,2002-08-01
01-10-2017,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,OCT FY2002,1293,10,2002,1,2002-10-01
01-09-2017,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,SEP FY2002,290,9,2002,1,2002-09-01
01-08-2018,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,AUG FY2008,788,8,2008,1,2008-08-01
01-10-2018,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,OCT FY2008,1061,10,2008,1,2008-10-01
01-09-2018,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,SEP FY2008,704,9,2008,1,2008-09-01
01-08-2019,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,AUG FY2007,349,8,2007,1,2007-08-01
01-10-2019,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,OCT FY2007,951,10,2007,1,2007-10-01
01-09-2019,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,SEP FY2007,865,9,2007,1,2007-09-01
01-08-2020,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2011,AUG FY2011,661,8,2011,1,2011-08-01
01-10-2020,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2011,OCT FY2011,600,10,2011,1,2011-10-01
01-09-2020,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2011,SEP FY2011,1157,9,2011,1,2011-09-01
01-08-2021,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2012,AUG FY2012,60,8,2012,1,2012-08-01
01-10-2021,OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2012,OCT FY2012,870,10,2012,1,2012-10-01
