Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,AUG FY2002,2,8,2002,1,2002-08-01
01-10-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,OCT FY2002,22,10,2002,1,2002-10-01
01-09-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,SEP FY2002,1,9,2002,1,2002-09-01
01-08-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,AUG FY2008,8,8,2008,1,2008-08-01
01-10-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,OCT FY2008,156,10,2008,1,2008-10-01
01-09-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,SEP FY2008,190,9,2008,1,2008-09-01
01-08-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,AUG FY2007,100,8,2007,1,2007-08-01
01-10-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,OCT FY2007,341,10,2007,1,2007-10-01
01-09-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,SEP FY2007,241,9,2007,1,2007-09-01
01-08-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,AUG FY2011,115,8,2011,1,2011-08-01
01-10-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,OCT FY2011,830,10,2011,1,2011-10-01
01-09-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,SEP FY2011,340,9,2011,1,2011-09-01
01-08-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2012,AUG FY2012,592,8,2012,1,2012-08-01
01-10-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2012,OCT FY2012,577,10,2012,1,2012-10-01
01-09-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2012,SEP FY2012,942,9,2012,1,2012-09-01
01-08-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2022,AUG FY2022,408,8,2022,1,2022-08-01
01-10-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2022,OCT FY2022,2083,10,2022,1,2022-10-01
01-09-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2022,SEP FY2022,937,9,2022,1,2022-09-01
01-12-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,DEC FY2002,127,12,2002,2,2002-12-01
01-01-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,JAN FY2002,69,1,2002,2,2002-01-01
01-11-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,NOV FY2002,36,11,2002,2,2002-11-01
01-12-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,DEC FY2008,168,12,2008,2,2008-12-01
01-01-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,JAN FY2008,64,1,2008,2,2008-01-01
01-11-2018,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,NOV FY2008,124,11,2008,2,2008-11-01
01-12-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,DEC FY2007,423,12,2007,2,2007-12-01
01-01-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,JAN FY2007,201,1,2007,2,2007-01-01
01-11-2019,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,NOV FY2007,817,11,2007,2,2007-11-01
01-12-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2011,DEC FY2011,618,12,2011,2,2011-12-01
01-01-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2011,JAN FY2011,353,1,2011,2,2011-01-01
01-11-2020,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2011,NOV FY2011,554,11,2011,2,2011-11-01
01-12-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2012,DEC FY2012,633,12,2012,2,2012-12-01
01-01-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2012,JAN FY2012,4096,1,2012,2,2012-01-01
01-11-2021,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2012,NOV FY2012,943,11,2012,2,2012-11-01
01-12-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2022,DEC FY2022,8052,12,2022,2,2022-12-01
01-01-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2022,JAN FY2022,1630,1,2022,2,2022-01-01
01-11-2022,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2022,NOV FY2022,1125,11,2022,2,2022-11-01
01-04-2016,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,APR FY2022,80,4,2022,3,2022-04-01
01-03-2016,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,MAR FY2022,0,3,2022,3,2022-03-01
01-04-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,APR FY2002,68,4,2002,3,2002-04-01
01-02-2017,TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,FEB FY2002,13,2,2002,3,2002-02-01
