Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-10-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,OCT FY2012,14,10,2012,1,2012-10-01
01-09-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,SEP FY2012,32,9,2012,1,2012-09-01
01-08-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,AUG FY2022,2013,8,2022,1,2022-08-01
01-10-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,OCT FY2022,5062,10,2022,1,2022-10-01
01-09-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,SEP FY2022,816,9,2022,1,2022-09-01
01-12-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,DEC FY2012,393,12,2012,2,2012-12-01
01-01-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,JAN FY2012,1057,1,2012,2,2012-01-01
01-11-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,NOV FY2012,160,11,2012,2,2012-11-01
01-12-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,DEC FY2022,6624,12,2022,2,2022-12-01
01-01-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,JAN FY2022,15410,1,2022,2,2022-01-01
01-11-2022,TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,NOV FY2022,15488,11,2022,2,2022-11-01
01-04-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,APR FY2012,2174,4,2012,3,2012-04-01
01-02-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,FEB FY2012,164,2,2012,3,2012-02-01
01-03-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,MAR FY2012,6017,3,2012,3,2012-03-01
01-07-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUL FY2012,3763,7,2012,4,2012-07-01
01-06-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUN FY2012,607,6,2012,4,2012-06-01
01-05-2021,TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,MAY FY2012,2613,5,2012,4,2012-05-01
