Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,AUG FY2022,4037,8,2022,1,2022-08-01
01-10-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,OCT FY2022,10075,10,2022,1,2022-10-01
01-09-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,SEP FY2022,2927,9,2022,1,2022-09-01
01-08-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,AUG FY2002,4503,8,2002,1,2002-08-01
01-10-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,OCT FY2002,23491,10,2002,1,2002-10-01
01-09-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,SEP FY2002,12578,9,2002,1,2002-09-01
01-08-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,AUG FY2008,14044,8,2008,1,2008-08-01
01-10-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,OCT FY2008,21412,10,2008,1,2008-10-01
01-09-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,SEP FY2008,14314,9,2008,1,2008-09-01
01-08-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2007,AUG FY2007,18471,8,2007,1,2007-08-01
01-10-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2007,OCT FY2007,41324,10,2007,1,2007-10-01
01-09-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2007,SEP FY2007,24857,9,2007,1,2007-09-01
01-08-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2011,AUG FY2011,19873,8,2011,1,2011-08-01
01-10-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2011,OCT FY2011,60920,10,2011,1,2011-10-01
01-09-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2011,SEP FY2011,22986,9,2011,1,2011-09-01
01-08-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2012,AUG FY2012,25440,8,2012,1,2012-08-01
01-10-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2012,OCT FY2012,48074,10,2012,1,2012-10-01
01-09-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2012,SEP FY2012,33040,9,2012,1,2012-09-01
01-08-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,AUG FY2022,50733,8,2022,1,2022-08-01
01-10-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,OCT FY2022,66661,10,2022,1,2022-10-01
01-09-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,SEP FY2022,107449,9,2022,1,2022-09-01
01-01-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2015,JAN FY2015,156,1,2015,2,2015-01-01
01-12-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,DEC FY2022,6583,12,2022,2,2022-12-01
01-01-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,JAN FY2022,10647,1,2022,2,2022-01-01
01-11-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,NOV FY2022,7033,11,2022,2,2022-11-01
01-12-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,DEC FY2002,13589,12,2002,2,2002-12-01
01-01-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,JAN FY2002,24102,1,2002,2,2002-01-01
01-11-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,NOV FY2002,9505,11,2002,2,2002-11-01
01-12-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2008,DEC FY2008,19413,12,2008,2,2008-12-01
01-01-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2008,JAN FY2008,28767,1,2008,2,2008-01-01
01-11-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2008,NOV FY2008,16898,11,2008,2,2008-11-01
01-12-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2007,DEC FY2007,24058,12,2007,2,2007-12-01
01-01-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2007,JAN FY2007,43028,1,2007,2,2007-01-01
01-11-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2007,NOV FY2007,23643,11,2007,2,2007-11-01
01-12-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2011,DEC FY2011,48999,12,2011,2,2011-12-01
01-01-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2011,JAN FY2011,36497,1,2011,2,2011-01-01
01-11-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2011,NOV FY2011,36415,11,2011,2,2011-11-01
01-12-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2012,DEC FY2012,23765,12,2012,2,2012-12-01
01-01-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2012,JAN FY2012,37496,1,2012,2,2012-01-01
01-11-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2012,NOV FY2012,61724,11,2012,2,2012-11-01
01-12-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,DEC FY2022,49468,12,2022,2,2022-12-01
01-01-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,JAN FY2022,105278,1,2022,2,2022-01-01
01-11-2022,TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,NOV FY2022,53223,11,2022,2,2022-11-01
01-03-2014,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2014,MAR FY2014,0,3,2014,3,2014-03-01
01-04-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,APR FY2015,4385,4,2015,3,2015-04-01
01-02-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,FEB FY2015,494,2,2015,3,2015-02-01
01-03-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,MAR FY2015,2503,3,2015,3,2015-03-01
01-04-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,APR FY2022,13519,4,2022,3,2022-04-01
01-02-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,FEB FY2022,8000,2,2022,3,2022-02-01
01-03-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,MAR FY2022,8256,3,2022,3,2022-03-01
01-04-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,APR FY2002,24308,4,2002,3,2002-04-01
01-02-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,FEB FY2002,10276,2,2002,3,2002-02-01
01-03-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,MAR FY2002,12186,3,2002,3,2002-03-01
01-04-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,APR FY2008,30676,4,2008,3,2008-04-01
01-02-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,FEB FY2008,15672,2,2008,3,2008-02-01
01-03-2018,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,MAR FY2008,20555,3,2008,3,2008-03-01
01-04-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2007,APR FY2007,51873,4,2007,3,2007-04-01
01-02-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2007,FEB FY2007,12716,2,2007,3,2007-02-01
01-03-2019,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2007,MAR FY2007,23167,3,2007,3,2007-03-01
01-04-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2011,APR FY2011,56225,4,2011,3,2011-04-01
01-02-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2011,FEB FY2011,21957,2,2011,3,2011-02-01
01-03-2020,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2011,MAR FY2011,33903,3,2011,3,2011-03-01
01-04-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2012,APR FY2012,180181,4,2012,3,2012-04-01
01-02-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2012,FEB FY2012,53986,2,2012,3,2012-02-01
01-03-2021,TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2012,MAR FY2012,44427,3,2012,3,2012-03-01
01-07-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUL FY2015,12665,7,2015,4,2015-07-01
01-06-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUN FY2015,5480,6,2015,4,2015-06-01
01-05-2015,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,MAY FY2015,2908,5,2015,4,2015-05-01
01-07-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,JUL FY2022,32575,7,2022,4,2022-07-01
01-06-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,JUN FY2022,11431,6,2022,4,2022-06-01
01-05-2016,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,MAY FY2022,9136,5,2022,4,2022-05-01
01-07-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,JUL FY2002,27259,7,2002,4,2002-07-01
01-06-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,JUN FY2002,18083,6,2002,4,2002-06-01
01-05-2017,TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,MAY FY2002,12155,5,2002,4,2002-05-01
