Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2013,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,AUG FY2013,9930,8,2013,1,2013-08-01
01-10-2013,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,OCT FY2013,31813,10,2013,1,2013-10-01
01-09-2013,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,SEP FY2013,11086,9,2013,1,2013-09-01
01-08-2014,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,AUG FY2014,11195,8,2014,1,2014-08-01
01-10-2014,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,OCT FY2014,37000,10,2014,1,2014-10-01
01-09-2014,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2014,SEP FY2014,20515,9,2014,1,2014-09-01
01-08-2015,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2015,AUG FY2015,18080,8,2015,1,2015-08-01
01-10-2015,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2015,OCT FY2015,50120,10,2015,1,2015-10-01
01-09-2015,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2015,SEP FY2015,26489,9,2015,1,2015-09-01
01-08-2016,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2022,AUG FY2022,20481,8,2022,1,2022-08-01
01-10-2016,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2022,OCT FY2022,38502,10,2022,1,2022-10-01
01-09-2016,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2022,SEP FY2022,21679,9,2022,1,2022-09-01
01-08-2017,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2002,AUG FY2002,20401,8,2002,1,2002-08-01
01-10-2017,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2002,OCT FY2002,48775,10,2002,1,2002-10-01
01-09-2017,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2002,SEP FY2002,28285,9,2002,1,2002-09-01
01-08-2018,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2008,AUG FY2008,22443,8,2008,1,2008-08-01
