Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,AUG FY2008,0,8,2008,1,2008-08-01
01-10-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,OCT FY2008,128,10,2008,1,2008-10-01
01-09-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2008,SEP FY2008,0,9,2008,1,2008-09-01
01-08-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,AUG FY2007,479,8,2007,1,2007-08-01
01-10-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,OCT FY2007,522,10,2007,1,2007-10-01
01-09-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2007,SEP FY2007,272,9,2007,1,2007-09-01
01-08-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,AUG FY2011,3104,8,2011,1,2011-08-01
01-10-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,OCT FY2011,3651,10,2011,1,2011-10-01
01-09-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2011,SEP FY2011,832,9,2011,1,2011-09-01
01-08-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,AUG FY2012,1174,8,2012,1,2012-08-01
01-10-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,OCT FY2012,495,10,2012,1,2012-10-01
01-09-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2012,SEP FY2012,237,9,2012,1,2012-09-01
01-08-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,AUG FY2022,136,8,2022,1,2022-08-01
01-10-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,OCT FY2022,634,10,2022,1,2022-10-01
01-09-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q1 FY2022,SEP FY2022,208,9,2022,1,2022-09-01
01-12-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,DEC FY2008,132,12,2008,2,2008-12-01
01-01-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,JAN FY2008,184,1,2008,2,2008-01-01
01-11-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2008,NOV FY2008,20,11,2008,2,2008-11-01
01-12-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,DEC FY2007,2544,12,2007,2,2007-12-01
01-01-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,JAN FY2007,6493,1,2007,2,2007-01-01
01-11-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2007,NOV FY2007,2705,11,2007,2,2007-11-01
01-12-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,DEC FY2011,1773,12,2011,2,2011-12-01
01-01-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,JAN FY2011,1472,1,2011,2,2011-01-01
01-11-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2011,NOV FY2011,509,11,2011,2,2011-11-01
01-12-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,DEC FY2012,326,12,2012,2,2012-12-01
01-01-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,JAN FY2012,178,1,2012,2,2012-01-01
01-11-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2012,NOV FY2012,1260,11,2012,2,2012-11-01
01-12-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,DEC FY2022,53,12,2022,2,2022-12-01
01-01-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,JAN FY2022,1253,1,2022,2,2022-01-01
01-11-2022,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q2 FY2022,NOV FY2022,346,11,2022,2,2022-11-01
01-04-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,APR FY2008,812,4,2008,3,2008-04-01
01-02-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,FEB FY2008,557,2,2008,3,2008-02-01
01-03-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2008,MAR FY2008,772,3,2008,3,2008-03-01
01-04-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,APR FY2007,7947,4,2007,3,2007-04-01
01-02-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,FEB FY2007,7329,2,2007,3,2007-02-01
01-03-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2007,MAR FY2007,2315,3,2007,3,2007-03-01
01-04-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,APR FY2011,1116,4,2011,3,2011-04-01
01-02-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,FEB FY2011,3976,2,2011,3,2011-02-01
01-03-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2011,MAR FY2011,890,3,2011,3,2011-03-01
01-04-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,APR FY2012,903,4,2012,3,2012-04-01
01-02-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,FEB FY2012,246,2,2012,3,2012-02-01
01-03-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q3 FY2012,MAR FY2012,233,3,2012,3,2012-03-01
01-07-2017,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2002,JUL FY2002,0,7,2002,4,2002-07-01
01-07-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUL FY2008,2267,7,2008,4,2008-07-01
01-06-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,JUN FY2008,2525,6,2008,4,2008-06-01
01-05-2018,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2008,MAY FY2008,1159,5,2008,4,2008-05-01
01-07-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUL FY2007,3199,7,2007,4,2007-07-01
01-06-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,JUN FY2007,2043,6,2007,4,2007-06-01
01-05-2019,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2007,MAY FY2007,4732,5,2007,4,2007-05-01
01-07-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUL FY2011,1847,7,2011,4,2011-07-01
01-06-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,JUN FY2011,2817,6,2011,4,2011-06-01
01-05-2020,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2011,MAY FY2011,1632,5,2011,4,2011-05-01
01-07-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUL FY2012,851,7,2012,4,2012-07-01
01-06-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,JUN FY2012,370,6,2012,4,2012-06-01
01-05-2021,CSA,UCSMEM,UCS-MR-X64G4RS-H=,Q4 FY2012,MAY FY2012,62,5,2012,4,2012-05-01
