Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2018,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,AUG FY2008,365,8,2008,1,2008-08-01
01-10-2018,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,OCT FY2008,3936,10,2008,1,2008-10-01
01-09-2018,CSA,UCSB,UCSB-B200-M5,Q1 FY2008,SEP FY2008,539,9,2008,1,2008-09-01
01-08-2019,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,AUG FY2007,3751,8,2007,1,2007-08-01
01-10-2019,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,OCT FY2007,9586,10,2007,1,2007-10-01
01-09-2019,CSA,UCSB,UCSB-B200-M5,Q1 FY2007,SEP FY2007,5568,9,2007,1,2007-09-01
01-08-2020,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,AUG FY2011,5002,8,2011,1,2011-08-01
01-10-2020,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,OCT FY2011,10766,10,2011,1,2011-10-01
01-09-2020,CSA,UCSB,UCSB-B200-M5,Q1 FY2011,SEP FY2011,6069,9,2011,1,2011-09-01
01-08-2021,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,AUG FY2012,3748,8,2012,1,2012-08-01
01-10-2021,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,OCT FY2012,10904,10,2012,1,2012-10-01
01-09-2021,CSA,UCSB,UCSB-B200-M5,Q1 FY2012,SEP FY2012,5120,9,2012,1,2012-09-01
01-08-2022,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,AUG FY2022,5572,8,2022,1,2022-08-01
01-10-2022,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,OCT FY2022,7720,10,2022,1,2022-10-01
01-09-2022,CSA,UCSB,UCSB-B200-M5,Q1 FY2022,SEP FY2022,4898,9,2022,1,2022-09-01
01-12-2018,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,DEC FY2008,3581,12,2008,2,2008-12-01
01-01-2018,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,JAN FY2008,4292,1,2008,2,2008-01-01
01-11-2018,CSA,UCSB,UCSB-B200-M5,Q2 FY2008,NOV FY2008,2147,11,2008,2,2008-11-01
01-12-2019,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,DEC FY2007,9338,12,2007,2,2007-12-01
01-01-2019,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,JAN FY2007,7628,1,2007,2,2007-01-01
01-11-2019,CSA,UCSB,UCSB-B200-M5,Q2 FY2007,NOV FY2007,8119,11,2007,2,2007-11-01
01-12-2020,CSA,UCSB,UCSB-B200-M5,Q2 FY2011,DEC FY2011,9874,12,2011,2,2011-12-01
01-01-2020,CSA,UCSB,UCSB-B200-M5,Q2 FY2011,JAN FY2011,8606,1,2011,2,2011-01-01
