Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2022,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,AUG FY2022,56,8,2022,1,2022-08-01
01-10-2022,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,OCT FY2022,198,10,2022,1,2022-10-01
01-09-2022,CSA,UCSC,UCSC-C240-M6SX,Q1 FY2022,SEP FY2022,244,9,2022,1,2022-09-01
01-12-2022,CSA,UCSC,UCSC-C240-M6SX,Q2 FY2022,DEC FY2022,162,12,2022,2,2022-12-01
01-01-2022,CSA,UCSC,UCSC-C240-M6SX,Q2 FY2022,JAN FY2022,603,1,2022,2,2022-01-01
01-11-2022,CSA,UCSC,UCSC-C240-M6SX,Q2 FY2022,NOV FY2022,135,11,2022,2,2022-11-01
01-04-2021,CSA,UCSC,UCSC-C240-M6SX,Q3 FY2012,APR FY2012,87,4,2012,3,2012-04-01
01-07-2021,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUL FY2012,444,7,2012,4,2012-07-01
01-06-2021,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,JUN FY2012,54,6,2012,4,2012-06-01
01-05-2021,CSA,UCSC,UCSC-C240-M6SX,Q4 FY2012,MAY FY2012,10,5,2012,4,2012-05-01
