Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,AUG FY2022,550,8,2022,1,2022-08-01
01-10-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,OCT FY2022,2160,10,2022,1,2022-10-01
01-09-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,SEP FY2022,1711,9,2022,1,2022-09-01
01-08-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,AUG FY2002,1392,8,2002,1,2002-08-01
01-10-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,OCT FY2002,4028,10,2002,1,2002-10-01
01-09-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2002,SEP FY2002,1697,9,2002,1,2002-09-01
01-08-2018,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,AUG FY2008,3789,8,2008,1,2008-08-01
01-10-2018,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,OCT FY2008,4783,10,2008,1,2008-10-01
01-09-2018,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2008,SEP FY2008,2807,9,2008,1,2008-09-01
01-08-2019,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,AUG FY2007,3252,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,OCT FY2007,5871,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2007,SEP FY2007,3136,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,AUG FY2011,7058,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,OCT FY2011,5989,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2011,SEP FY2011,2759,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,AUG FY2012,1349,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,OCT FY2012,4821,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2012,SEP FY2012,4001,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,AUG FY2022,2492,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,OCT FY2022,3717,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q1 FY2022,SEP FY2022,1801,9,2022,1,2022-09-01
01-12-2015,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,DEC FY2015,149,12,2015,2,2015-12-01
01-01-2015,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2015,JAN FY2015,2,1,2015,2,2015-01-01
01-12-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,DEC FY2022,1429,12,2022,2,2022-12-01
01-01-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,JAN FY2022,2079,1,2022,2,2022-01-01
01-11-2016,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2022,NOV FY2022,1384,11,2022,2,2022-11-01
01-12-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,DEC FY2002,2465,12,2002,2,2002-12-01
01-01-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,JAN FY2002,3377,1,2002,2,2002-01-01
01-11-2017,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2002,NOV FY2002,1983,11,2002,2,2002-11-01
01-12-2018,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2008,DEC FY2008,5013,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q2 FY2008,JAN FY2008,3221,1,2008,2,2008-01-01
