Booking_Date,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,month,Year,Quater,Fiscal_Date
01-08-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,AUG FY2002,102,8,2002,1,2002-08-01
01-10-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,OCT FY2002,511,10,2002,1,2002-10-01
01-09-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2002,SEP FY2002,143,9,2002,1,2002-09-01
01-08-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,AUG FY2008,849,8,2008,1,2008-08-01
01-10-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,OCT FY2008,1047,10,2008,1,2008-10-01
01-09-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2008,SEP FY2008,330,9,2008,1,2008-09-01
01-08-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,AUG FY2007,164,8,2007,1,2007-08-01
01-10-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,OCT FY2007,431,10,2007,1,2007-10-01
01-09-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2007,SEP FY2007,250,9,2007,1,2007-09-01
01-08-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2011,AUG FY2011,70,8,2011,1,2011-08-01
01-10-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2011,OCT FY2011,145,10,2011,1,2011-10-01
01-09-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2011,SEP FY2011,156,9,2011,1,2011-09-01
01-08-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2012,AUG FY2012,254,8,2012,1,2012-08-01
01-10-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2012,OCT FY2012,99,10,2012,1,2012-10-01
01-09-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2012,SEP FY2012,131,9,2012,1,2012-09-01
01-08-2022,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2022,AUG FY2022,20,8,2022,1,2022-08-01
01-10-2022,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2022,OCT FY2022,162,10,2022,1,2022-10-01
01-09-2022,UOPBLRBU,C3650,WS-C3650-48FQM,Q1 FY2022,SEP FY2022,34,9,2022,1,2022-09-01
01-12-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,DEC FY2002,488,12,2002,2,2002-12-01
01-01-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,JAN FY2002,594,1,2002,2,2002-01-01
01-11-2017,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2002,NOV FY2002,161,11,2002,2,2002-11-01
01-12-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,DEC FY2008,321,12,2008,2,2008-12-01
01-01-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,JAN FY2008,364,1,2008,2,2008-01-01
01-11-2018,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2008,NOV FY2008,388,11,2008,2,2008-11-01
01-12-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,DEC FY2007,489,12,2007,2,2007-12-01
01-01-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,JAN FY2007,780,1,2007,2,2007-01-01
01-11-2019,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2007,NOV FY2007,589,11,2007,2,2007-11-01
01-12-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2011,DEC FY2011,404,12,2011,2,2011-12-01
01-01-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2011,JAN FY2011,207,1,2011,2,2011-01-01
01-11-2020,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2011,NOV FY2011,353,11,2011,2,2011-11-01
01-12-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2012,DEC FY2012,148,12,2012,2,2012-12-01
01-01-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2012,JAN FY2012,34,1,2012,2,2012-01-01
01-11-2021,UOPBLRBU,C3650,WS-C3650-48FQM,Q2 FY2012,NOV FY2012,522,11,2012,2,2012-11-01
