,Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date,Expo_smooth_pred_x,Holt_pred,Prophet_pred,predicted_mean,Year,Month,Size
0,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,JAN FY2013,18921,2013-01-01,,,23241.583871877498,0.0,2013,1,XL
1,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,JAN FY2013,63,2013-01-01,,,147.135379465733,0.0,2013,1,XS
2,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,FEB FY2013,31,2013-02-01,64.48084248260143,66.83239405549752,33.244789533901894,62.71949628591785,2013,2,XS
3,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,FEB FY2013,12810,2013-02-01,12961.5558555,7752.293850146512,18770.3786682687,12838.821660436746,2013,2,XL
4,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,MAR FY2013,14069,2013-03-01,6909.400095460275,2693.042875297697,21561.55277665449,10721.092059337358,2013,3,XL
5,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,MAR FY2013,61,2013-03-01,32.30288016796936,59.473450424371656,46.2959524211793,31.29896394461074,2013,3,XS
6,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2013,APR FY2013,36158,2013-04-01,8262.846114033146,1280.0610111874355,33798.719923954915,11863.882014963165,2013,4,XL
7,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2013,APR FY2013,104,2013-04-01,62.4298862124021,60.38329832925578,148.00308921687702,60.71767817115285,2013,4,S
8,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2013,APR FY2013,25,2013-04-01,,,690.7090375401892,0.0,2013,4,XS
9,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,MAY FY2013,19,2013-05-01,105.61840502550253,72.43168164599682,29.641600975247705,103.6370273971419,2013,5,XS
10,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,MAY FY2013,27,2013-05-01,26.950399,3.628687217842909,81.86746818109792,21.562809475808944,2013,5,XS
11,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,MAY FY2013,13622,2013-05-01,30547.98866462835,1178.896263144983,16586.926127604886,23920.951924946527,2013,5,XL
12,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUN FY2013,38,2013-06-01,28.93114053495,43.34122117752696,68.89565148165545,25.81186205646343,2013,6,XS
13,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUN FY2013,18436,2013-06-01,7984.305134092156,3400.855894931349,20491.39613559446,14479.22096353594,2013,6,XL
14,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUN FY2013,57,2013-06-01,20.17995956032285,60.810305846054575,78.63013506526336,19.77152073111124,2013,6,XS
15,SRSBU,ISR1121,ISR4451-X/K9,Q4 FY2013,JUL FY2013,77,2013-07-01,39.956719983952496,87.79599573763849,1165.5711878230927,35.25861468178432,2013,7,XS
16,TOASTBU,CPAK100,CPAK-100G-LR4,Q4 FY2013,JUL FY2013,87,2013-07-01,,,2318.0245659710567,0.0,2013,7,XS
17,SRSBU,A9K1000,A9K1000-ESP100,Q4 FY2013,JUL FY2013,59,2013-07-01,58.34779589521431,59.92348701401094,193.1240879625724,56.61935395220081,2013,7,XS
18,TOASTBU,SFP10G,SFP-10G-LR,Q4 FY2013,JUL FY2013,77441,2013-07-01,12906.417972337478,4218.337902301306,48895.09324521375,16765.43799634169,2013,7,XL
19,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,AUG FY2013,10,2013-08-01,60.33759907477879,59.63120618641676,44.09808740087389,59.00467505847875,2013,8,XS
20,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,AUG FY2013,9930,2013-08-01,72286.15997365103,4126.344404997449,5474.139597848636,45703.29763287204,2013,8,XL
21,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,SEP FY2013,16,2013-09-01,11.078858896148402,46.48008483329792,62.95286556880871,10.432155382008292,2013,9,XS
22,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,SEP FY2013,11086,2013-09-01,4518.045382044949,3512.192218358032,15176.274705164427,18082.203833595388,2013,9,XL
23,SRSBU,A9K1000,A9K1000-ESP100,Q1 FY2013,OCT FY2013,123,2013-10-01,17.092148208282172,36.2328481512793,138.38985833076333,15.922557254987424,2013,10,S
24,TOASTBU,SFP10G,SFP-10G-LR,Q1 FY2013,OCT FY2013,31813,2013-10-01,5760.676303583377,3303.9048293879446,49782.6788429249,18722.156481892223,2013,10,XL
25,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,NOV FY2013,34,2013-11-01,124.59775303366996,55.55384704918504,11.912201745811956,122.04739268902368,2013,11,XS
26,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,NOV FY2013,13434,2013-11-01,26669.888542844805,6299.498986262957,12045.364935407992,30943.55712311832,2013,11,XL
27,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2013,DEC FY2013,174,2013-12-01,35.14010781673015,50.137282192371046,109.14988448200457,35.03009021827708,2013,12,S
28,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2013,DEC FY2013,17254,2013-12-01,8276.802009129276,6901.624552662734,13972.62384698891,33418.48659568577,2013,12,XL
29,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q2 FY2014,JAN FY2014,4729,2014-01-01,,,9005.192252495215,0.0,2014,1,L
30,SRSBU,A9K1000,A9K1000-ESP100,Q2 FY2014,JAN FY2014,71,2014-01-01,175.80592259617754,82.06261850979483,124.42512640520656,204.51460575886523,2014,1,XS
31,UCEBU,PHONVOC,CP-7841-K9,Q2 FY2014,JAN FY2014,31729,2014-01-01,,,74165.62651432003,0.0,2014,1,XL
32,TOASTBU,CPAK100,CPAK-100G-LR4,Q2 FY2014,JAN FY2014,387,2014-01-01,113.871433044131,643.4837197674419,2313.7755535658584,55.35099145013577,2014,1,S
33,QKBU,N9500,N9K-C9508,Q2 FY2014,JAN FY2014,91,2014-01-01,,,106.28147105999176,0.0,2014,1,XS
34,SRSBU,ISR1121,ISR4451-X/K9,Q2 FY2014,JAN FY2014,315,2014-01-01,79.12051702019241,131.39229692439687,412.7620842980309,67.59733990023636,2014,1,S
35,TOASTBU,SFP10G,SFP-10G-LR,Q2 FY2014,JAN FY2014,27933,2014-01-01,12192.811119092794,8139.028450041142,25966.94105182485,22002.60139042966,2014,1,XL
36,UCEBU,PHONVOC,CP-7821-K9,Q2 FY2014,JAN FY2014,53377,2014-01-01,,,99905.54419616165,0.0,2014,1,XL
37,TOASTBU,CPAK100,CPAK-100G-LR4,Q3 FY2014,FEB FY2014,536,2014-02-01,414.8338830125882,899.0873338029112,1059.1917649915545,224.87695758028403,2014,2,M
38,QKBU,N9500,N9K-C9508,Q3 FY2014,FEB FY2014,29,2014-02-01,86.536759849663,105.16797690729464,21.25016546141397,90.73401451683726,2014,2,XS
39,UCEBU,PHONVOC,CP-7841-K9,Q3 FY2014,FEB FY2014,28942,2014-02-01,29011.1189935,26559.266243360467,48838.50348297821,17972.77620942577,2014,2,XL
40,SRSBU,A9K1000,A9K1000-ESP100,Q3 FY2014,FEB FY2014,59,2014-02-01,72.27692711626389,83.81755068194225,56.03028775831853,41.341485473264704,2014,2,XS
41,TOASTBU,SFP10G,SFP-10G-LR,Q3 FY2014,FEB FY2014,21444,2014-02-01,23000.336942862355,10981.343074652554,21196.56923454297,26149.735206970458,2014,2,XL
42,UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,FEB FY2014,28693,2014-02-01,29862.172298186048,13992.73174173023,65184.73379001804,27353.862053220208,2014,2,XL
43,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,FEB FY2014,2366,2014-02-01,2424.6035815,442.54949933953503,1903.0443840190385,2082.2956283568374,2014,2,L
44,SRSBU,ISR1121,ISR4451-X/K9,Q3 FY2014,FEB FY2014,364,2014-02-01,318.26691529074054,187.512324856482,43.45208639359629,259.2381104080082,2014,2,S
45,TOASTBU,QSFP40G,QSFP-40G-SR-BD,Q3 FY2014,MAR FY2014,4569,2014-03-01,84.35745795657476,1486.5979525278508,5156.44265350119,2527.008748914443,2014,3,L
46,UCEBU,PHONVOC,CP-8841-K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,34206.70851688988,0.0,2014,3,XS
47,SRSBU,ISR1121,ISR4431/K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,82.00629961310432,0.0,2014,3,XS
48,UOPBLRBU,C3560CX,WS-C3560CX-12PC-S,Q3 FY2014,MAR FY2014,0,2014-03-01,,,1262.1214838429223,0.0,2014,3,XS
49,UCEBU,PHONVOC,CP-8851-K9,Q3 FY2014,MAR FY2014,0,2014-03-01,,,23154.850949420805,0.0,2014,3,XS
50,QKBU,N9500,N9K-C9508,Q3 FY2014,MAR FY2014,32,2014-03-01,25.4277126850652,85.89508326495448,96.08293107755746,29.34434295881644,2014,3,XS
51,UCEBU,PHONVOC,CP-7821-K9,Q3 FY2014,MAR FY2014,41025,2014-03-01,5380.884200945558,2883.550880959876,81465.07596066891,28350.116769485,2014,3,XL
